,course_name,semester,prerequisites,ects,effects,program_content,program_content_ensuring_outcomes,language
26,Computer networks,4,No prerequisites,4.0,"Has extensive knowledge of technologies and solutions used in the construction of computer networks.; Has extensive knowledge of the theoretical foundations of computer networks, including communication protocols and technologies enabling devices to communicate.; Has knowledge of the use of network technologies and services in various IT systems.; Is able to build and configure computer network installations.; Is able to manage the infrastructure of computer networks, including configuring specialized devices supporting network communication.; Is able to design and build new solutions within network technologies.","Basic issues related to computer networks Definitions related to computer networks. Principles and modes of data transfer in computer networks. Layered network architectures: ISO-OSI model and other models, types of physical and logical topologies of computer networks, classifications of computer networks, organizations that standardize the development of computer networks. Transmissions in computer networks: Signal transmission - popular types of wired and wireless transmission media, creation of transmission networks, computer network topologies, physical devices in computer networks (bridges, switches, routers, concentrators, switchboards, gateways, hubs, etc.), narrowband and broadband transmissions, data coding techniques in the transmission medium.
Wired LAN, SAN, MAN and Data Link Layer Theoretical basics of Ethernet operation and the IEEE 802.3 standard (assumptions regarding this standard, types of physical media used, CSMA/CD, additional mechanisms: NLP/FLP, Auto-MDIX), MAC addressing, link access and collision detection, characteristics of Fast, Gigabit, 10Gigabit , 40Gigabit , 100Gigabit Ethernet, VLAN (IEEE 802.1Q), Stacked VLAN Q-in-Q (IEEE 802.1ad), VQP protocol and use of VLAN Membership Policy Servers), Cisco VTP and VTP Pruning, Private VLANS (Private, Isolated, Community VLANS), QoS (IEEE 802.1p and specifying CoS in IEEE 802.1Q), configuring managed Ethernet switches, STP protocol (IEEE 802.1d), configuring IP addressing, ARP protocol, local network diagnostics. Ethernet switch architectures of the CORE segment: switches with Supervisor modules, architectures based on Switch Fabric, internal system buses of switches - channel management and use in configuring modules, routing modules in switches, IDS (Intrusion Detection System) and NAM (Network Analysis Module) modules. Types of SAN network topologies, Fibre Channel technology (FC layers, devices, types of ports and frames, WWNN/WWPN addressing, zoning, Fibre Channel tunneling over other technologies). Overview of technologies used in wired LANs: Ethernet, Token Ring (principles of network operation in a logical topology based on token passing, types of physical media used, Token Ring frames, MAU switch operation), FDDI/CDDI (principles of operation of a double-ring topology, FDDI concentrators, bypass switch, types of physical media used, SAS and DAS interfaces, token generation and recovery procedures, FDDI frames), use of LLC and SNAP protocols in LANs and MANs.
Internet and Internet protocols Internet network architecture, Internet segmentation principles and addressing systems used in the Internet. IP protocol version 4 (basic protocol properties, IP datagram structure, datagram features enabling IP routing, IP packet fragmentation and defragmentation, IP encapsulation), ARP protocol (operation principle, ARP packet format, MAC and IP address binding tables in devices, Inverse ARP and Reverse ARP, Proxy ARP), ICMP protocol (ICMP message types, message format, situations supported by ICMP, IP network diagnostics using ICMP). IPv6 protocol (address components, EUI-64 notation, IPv6 multicast, routing using IPv6, dynamic routing protocols for IPv6 (RIPng, OSPF3, EIGRP), IPv6 tunneling in IPv4 networks. TCP protocol (operation principles, TCP connections and associations, flow control and TCP stream defragmentation, addressing and TCP packet structure, processing sequence numbers and acknowledgments in TCP, TCP connection life cycle), UDP protocol (operation principles, addressing in UDP, UDP associations, UDP packet structure), IPX (operation principles, addressing used in IPX, cooperation in NetBEUI, Sequenced Packet Exchange/SPX protocol), RTP protocol (operation principles, RTP packet structure, RTCP protocol, meaning of timestamps and sequence numbers, synchronization sources for data and their identification). Multicast transmissions in IP networks (addressing datagrams in multicast and values special addresses, Reverse path forwarding, IGMP for IPv4 and MLD for IPv6 protocols and their versions, managing multicast groups, IGMP Querier and its operation, IP Multicast and MAC address mapping, IGMP Snooping in Ethernet switches, routing multicast datagrams and the PIM protocol, acquiring multicast routes - DVMRP, MOSPF, MBGP protocols, configuring PIM Dense Mode, PIM Sparse Mode and PIM Sparse-Dense Mode, the importance of the Rendezvous Point and Mapping Agent units, tunneling multicast traffic over IP - an example of the mBone network).
IP Routing Basics Router operating systems - configuration basics using examples of popular modular routers on the market (Cisco, Juniper, Helwett Packard, Allied Telesis). Configuring IP interfaces of routers, control lists (ACL), serial link protocols (SLIP, PPP, HDLC), DHCP, network management using the SNMP protocol. Datagram routing in IP networks, IP classful and CIDR routing, routing tables (administrative distance, longest prefix match, route summarization, rule of last resort), defining static routing rules, routing between VLANs, dynamic routing protocols of the interior type: RIP (RIPv2 and VLSM), IGRP, EIGRP, OSPF prophecy (backbone area, ABR and ASBR routers, calculating metric values, LSA messages, Stub area, NSSArea, Totally stubby area, Virtual links), IS-IS protocol (Level 1 and Level 2 areas, metrics, building best path trees), redistributing route information between dynamic routing protocols, ODR protocol. Network Address Translation (address classification, overloading). Examples of mechanisms supporting IP datagram routing processes: use of IP SLA (Service Level Agreement) techniques, IP routing control using Route Maps, HSRP and VRRP protocols, computer network and router simulators (GNS3, OPNET, Cisco Packet Tracer).
Routing in wide area networks BGP protocol - exterior and interior variants: internal BGP (iBGP) and external BGP (eBGP), RIPE and autonomous systems, BGP route selection procedure, BGP multihoming, prefixes, attributes for prefixes and manipulating their values ​​(WEIGHT, AS-PATH, ORIGIN, NEXT-HOP, LOCAL-PREFERENCE, MED), BGP session control (Route Maps), BGP Communities, iBGP scaling techniques (Route Reflection and Confederations of Autonomous Systems). Multiprotocol Label Switching (MPLS basics, FEC groups, LSR and LER routers in MPLS and MPLS-P and MPLS-PE functionality, NHLFE and ILM tables and label stack processing in datagrams, IP datagram insertion and extraction from the MPLS cloud, Label Distribution Protocol and route finding in MPLS, MPLS VPN basics and Virtual Switching and Forwarding - VRF, VFR without MPLS, i.e. VRF Lite).
Physical Media in Computer Networks Classification of physical media for data transmission in computer networks, selection of medium and design of computer networks, coaxial cable media for the following technologies: Ethernet, Cable Modem, ATM, E-carrier/T-carrier (characteristics and technical limitations, connector systems), media based on copper pair/TP for the following technologies: Ethernet, Token Ring, ATM, CDDI, T-carrier/E-carrier, ISDN, PTSN (characteristics, categories and types of TP cable equipment, connector systems and line outputs for individual standards), Power Line Communication (narrowband and broadband, types of standards, PLC protection), fiber optic media for the following technologies: Ethernet, ATM, FDDI, Fiber Channel, Metro Ethernet (technical characteristics and construction of optical fiber, multi- and single-mode optical fibers, undesirable phenomena occurring during transmission, connector systems, optical fiber polishing standards, cabling assembly and related devices, fiber optic link aggregators, GBIC standards, SFP, SFP+, spectrum multiplexers, optical fiber quality categories), media based on dispersed infrared (IrDA, Li-Fi transmissions and the LOS variant, characteristics of IrDA transceivers, the IrPHY standard, the IrLAP and IrLMP protocols, Tiny TP, IrCOMM, OBEX, IrLAN, IrSS services), media based on infrared lasers (Laser Infrared Technology, technical characteristics and devices, system examples), microwave media (technical characteristics and devices), transceiver devices used in wireless media using radio waves (types of transceiver antennas, antenna cables, wide- and narrowband radio, transmitting power of radio devices and calculating Effective Isotropic Radiated Power, legal regulations regarding transmitting power and transmitting frequencies in Poland), network infrastructure devices (patch cabinet systems, RACK mounting system, installation of network cabling in patch panels: keystone and LSA, gutters, wall sockets, optical fibers in fiber optic distribution frames: sleeves for fiber optic splices and connecting spectrum multiplexers, other elements of active infrastructure in network installations.
Wireless networks Techniques for transmitting information in a wireless medium, standards of popular wireless networks, Wi-Fi (IEEE 802.11 standards, communication modes: IBSS/Ad-Hoc and infrastructure/BSS-ESS, RTS/CTS frame transmission technique, CSMA/CA and DCF/NAV medium reservation technique, interframe spacing, types of frames and their structure, beacon frame and its meaning, DTIM maps and their transmission, channel scanning techniques, Service Set configuration management, simple authentication in Wi-Fi - Open system and Shared key, WEP and its properties, RC4 cipher generation, WPA/WPA2, WPA-PSK use, EAP protocol, WDS - types of bridges and their configuration techniques, Wi-Fi repeaters), Bluetooth (IEEE 802.15 standard and its versions, Bluetooth piconets architecture, Master, Active Slave and Parked Slave devices, signal classes and their ranges, Bluetooth communication security, LMP and LMP protocols L2CAP, RFComm services, TCS BIN in Bluetooth, Service Discovery Protocol), WiMAX (IEEE 802.16 standard and its versions, PHY and MAC layers in IEEE 802.16, devices used in WiMAX), ZigBee (ZigBee piconetwork architecture, ZigBee Coordinator devices, ZigBee Router, ZigBee End Device, Beacon Enabled and non- Beacon Enabled modes of operation, device management using ZigBee Device Object, Application Support Sublayer services), other wireless communication technologies in computer networks (GSM, GPRS, EDGE, UMTS, WirelessHART, HiPeRLAN).
WAN Technologies POTS/PTSN, ISDN BRI/PRI, Frame Relay (static DLCI based PVCs and Frame Relay switching, PDU frames, Frame Relay Traffic Shaping, LMI protocol and SVC switching), ATM (media classification, cell processing in ATM switches, PVC/SVC, NSAP and ESI addressing, ILMI protocol, AAL layer, LANE and MPoA technologies), T-carrier/E-carrier (time slots, media classification, multiplexing), CABLE MODEM/CableTV, EFM - Ethernet in the First Mile (LRE - Long Reach Ethernet, EPON - Ethernet Passive Optical Network), asymmetric DSL (A/H/V/DSL), symmetric DSL, satellite and long-range wireless networks
Security in computer networks Issues related to the use of cryptology in information transfer (cryptography and cryptanalysis, symmetric and asymmetric key cryptosystems, selected ciphers, initialization of communication within a hybrid cryptosystem, RSA algorithm and cryptographic certification of data), Virtual Private Networks (creation of VPN tunnels based on PPTP, L2TP and SSTP protocols, ISAKMP policy protocol, IPSec encryption and authentication protocol, key exchange using IKE, IPSec communication modes), Secure Socket Layer (SSL versions, encryption techniques used in SSL, generation and use of X.509 certificates, use of SSL in ISO OSI higher layer services: SSH, SFTP, HTTPS), computer network screening (hardware and software solutions such as Security Appliance: content filtering modes and techniques, IDS - Intrusion Detection Systems).
Ethernet Networks and Ethernet Switches Configuring non-routing Ethernet switches of an EDGE segment. VLANs, LAGs, STPs, and other technologies. Using Terminal Access Servers to configure Ethernet switches. Installing Twisted Pair cabling, LSA connections, racks, and related technologies, stacking Ethernet switches, LAN installation extensions: PoE systems, RS232-Ethernet bridges. Ethernet fiber optic installations: cabling, passive devices, fiber optic media converters.
IP Routing, Part 1 Basics of using other network operating systems for routers. Configuring Legacy bridges/CRBs/IRBs in IP routers. Point-to-point serial links in computer networks. Using Access Control Lists in Cisco IOS. Statically defined routing. Dynamic IGP (Interior) routing: RIP, OSPF, EIGRP. Redistributing routes between IGP protocols. Routing between Ethernet VLANs using router sub-interfaces and IEEE 802.1Q encapsulation.
IP Routing Part 2 IP Multicast: Configuring and Controlling IGMP Snooping Configuring IP multicast routing on Cisco devices: IP PIM Dense Mode and IP PIM Sparse Mode with Rendezvous Point.
IPv6 Routing and NAT Configuring IP NAT in various variants. Static translations and overloading. Configuring routers to work within the IPv6 protocol. Dynamic routing protocols for IPv6 (OSPFv3, RIPng, EIGRP). IPv6 tunneling in IPv4 networks.
Wide Area Network Routing Internal BGP Routing within a Single Autonomous System Using Cisco Devices. Configuring Full Mesh. Scaling iBGP: Route Reflection and Confederations of Autonomous Systems. External BGP Routing Between Autonomous Systems Using Cisco Devices. Manipulating BGP Route Attributes. BGP Policy-based routing. Redistributing Routes Between IGPs and EGPs.
WAN and last mile technologies Creating Frame Relay networks based on Cisco Frame Relay routers and switches. Static DLCI tables. Using sub-interfaces in IP routers to identify Frame Relay PVCs. Configuring connections in ATM networks based on SONET/OC3 fiber optic links. Configuring T1/E1 connections based on Cisco routers with integrated channel service unit (CSU) and data service unit (DSU). Configuring T3/E3 connections with ATM encapsulation. Configuring SHDSL interfaces. Creating bridges over DSL (in ISO OSI layer 2) and superimposing IP network segments over SHDSL links. Configuring VDSL switches (configuring ports, QoS services, ACLs in layers 2-4), configuring VDSL routers Creating ATM connections based on IMA (Inverse Multiplexing for ATM) aggregate interfaces
Ethernet Routing Switches and WAN Link Sharing Devices Configuring Ethernet Routing Switches of the EDGE Segment. Configuring Switches from the CORE and CAMPUS Segments. Using WAN Modules in Ethernet Switches.
Wireless networks and network access control Configuring wireless networks (WiFi) using the Cisco Aironet platform. WDS bridges. Managing WiFi subscriber routers - HotSpot, configuring VDSL2 subscriber concentrators, configuring wireless network security. Configuring Virtual Private Networks created using physical devices. Configuring Security Appliance devices. Configuring SOHO segment devices: Edge routing, network screening (NAT, multilayer filtering techniques, proxy sessions).
Analysis of datagram traffic in a computer network. Tracking IP datagrams generated using popular communication protocols learned in previous classes. Techniques for tracking traffic in computer networks, traffic monitoring devices. Using your own (based on programmable microcontrollers) devices generating network traffic: creating software that parses and generates Ethernet frames, ARP, IP, ICMP, UDP, TCP datagrams in accordance with protocols. Programming network experimental devices built on the basis of Atmel AVR32 and MikroTik RouterBoard microcontrollers.","Computer networks, network multimedia systems, network services.",Polish
27,Compilation Theory and Compilers,4,"General knowledge of basic issues in formal linguistics (generative grammar, parsing, automata), general knowledge of languages ​​and the programming process provided for in the study program, basics of algorithms (trees, graphs), basics of logic.",4.0,Knows and understands the basic principles of lexical and syntactic analysis; Knows and understands the basic principles and modules of compiler work; Knows and understands the individual parsing strategies; Can build a lexical analyzer; Can build a syntactic analyzer; Can use the available scanner and parser generators; Knows the importance of compilers/translators in contemporary reality,"Compiler - basic issues Compiler, translator, interpreter, others. Compiler structure, basic work modules. Lexical analysis, simple scanner implementation. Scanner generators. Syntactic analysis, grammatical parsing methods. Semantic analysis. The problem of recovering from syntactic errors. Examples of compilers.
Example of the compilation process A simple example of the complete compilation process including code generation.
Top-Down Parsing LL Grammars and Analyzers, Array-Driven and Recursion-Driven Parsers. Principles of Construction and Operation of the Automaton, Examples of Parsing, Properties of LL Languages ​​and Grammars
Bottom-up parsing LR grammars and parsers. Construction of the parsing table, SLR parsers, LALR parsers, the canonical LR parser, parsing examples, properties of LR languages ​​and grammars.
Operator precedence methods Operator precedence grammars, Wirth-Weber relations, operator precedence parsers.
Syntax-directed translation Attributed grammars. S-attributed grammars and bottom-up computation. L-attributed grammars and top-down and bottom-up computation, recursive computation.
Parser Generators Overview of parser generation tools.
Code Generation and Optimization Type checking, memory reservation. Code generation, generation algorithms, intermediate code. Code optimization.","The aim of the module is to familiarize students with selected theoretical and practical issues in the field of constructing compilers, interpreters and translators. In particular, the subject of the course will be: - lexical analysis, simple scanner implementation. - scanner generators, syntactic analysis, - LL grammars and analyzers, table-driven and recursively driven parsers. - LR grammars and analyzers, constructing a parsing table, SLR parsers, LALR parsers. - parser generators, code generation and optimization.",Polish
28,Data Engineering,4,Students should have basic knowledge of programming and database systems.,3.0,,"Types of datasets. Data formats related to each type.
Tools for data import, analysis and integration. Databases vs. data-processing libraries.
Multidimensional data. Geometric vs. geographic data. Representation of locations in different coordinate systems.
Geospatial data. Integration of datasets using the spatial component. Visualisation of multidimensional datal.
Time-series and log data. Efficient means of analysis and detecting anomalies.
Performance of data processing. Influence of query design on processing time.
Data quality estimation: completeness, consistency, domain-specific issues.","The course is focused on practical aspects of dataset analysis and tools used to accomplish such tasks. The specific characteristics of different data classes will be presented, including spatial (georeferenced), time series, log and sensor data. The participants will learn a wide spectrum of tools used for analysis, including general-purpose databases and software (PostgreSQL, Pandas), specialized solutions (PostGIS, GeoPandas) and visualization and data drilling tools (pgAdmin, QGIS). Each dataset and tool class is presented using examples of real-life data, which are then processed by the students during project classes.",english
29,Machine learning,4,"The student knows the basics of: - probability theory and statistics. - linear algebra, - programming in Python.",4.0,"classic machine learning algorithms for regression, classification, clustering, dimensionality reduction, and pattern searching.; operation of neural networks and knows the characteristics of basic types of networks.; basic problems that arise during machine learning and understands their mathematical causes.; implement a Python script that trains a model for a selected machine learning topic.; select the appropriate machine learning algorithm depending on the selected topic and available data.; validate the model and solve typical problems that arise during model training.; recognize the threats posed by unethical use of machine learning.","Classical machine learning algorithms - classification (including: naive Bayesian classifier, K-NN, logistic regression, SVM, decision trees) and ensemble methods (on the example of decision trees - Random Forest, Gradient Boosted Trees).
Classical machine learning algorithms - regression (including linear regression, polynomial regression)
Classical machine learning algorithms - clustering (including K-means, DBSCAN)
Classical machine learning algorithms - pattern searching (including: Apropri, FP-Growth, ECLAT)
Classical machine learning algorithms - dimension reduction (including PCA, LSA, LDA)
Operation of neural networks and the mathematical basis of their training.
Using simple neural networks (MLP) for classification problems. Training a neural network.
Convolutional networks CNN and their extensions including GAN.
Recurrent networks RNN and their extensions, including: LSTM
Autoencoders
Reinforcement Learning
Issues related to the threats associated with the development of artificial intelligence and unethical use of machine learning methods.","Introduction to classical machine learning algorithms - classification (including: naive Bayes classifier, K-NN, logistic regression, SVM, decision trees) and ensemble methods (using decision trees as an example - Random Forest, Gradient Boosted Trees). Use of simple neural networks (MLP), Convolutional networks CNN and their extensions including: GAN, Recurrent networks RNN and their extensions including: LSTM. Reinforcement Learning.",Polish
30,Software development models,4,"Knowledge of programming processes and paradigms acquired during studies. Knowledge of requirements engineering and systems analysis processes (structured approach, use case models)",4.0,Knows and understands the basic concepts and issues related to software modeling; Knows the principles and understands the importance of building software models; Is able to build advanced software models; Is able to verify and evaluate advanced software models; Knows the importance of the created advanced software models for society,"Static structure of the system. Modeling diagrams of system classes and objects, obtaining classes, methods and attributes, finding types. Diagrams, verification and validation. OCL language, constraints and validation of constraints. Modeling system dynamics, creating a behavioral model. Interactions, state machines, flows. Other dynamics diagrams. Implementation diagrams. Extension mechanisms. SysML language. Origin of SysML language, language goals, modeling system requirements, defining structure and blocks, modeling constraints, modeling flows and activities, modeling interactions and state machines.
The aim of the laboratory exercises is to practically practice specific diagrams and software models using advanced design tools.
The aim of the design exercises is to create advanced software models, transform these models, covering different domain cases.","Static structure of the system. OCL language, constraints and constraint validation. Modeling system dynamics. Interactions, state machines, flows. Other dynamics diagrams. Implementation diagrams. Extension mechanisms. SysML language. Origin of SysML language.",Polish
31,Design studio 1,5,"Knowledge of software analysis and design methods, programming skills",3.0,Knows how to plan and organize a project in practice in order to solve a given problem; Is able to conduct an analysis of a selected problem; Is able to propose a solution to a selected problem; Is able to verify the proposed solution; Knows the importance of intelligent IT systems in contemporary reality,"The aim of the subject is to practically solve a selected problem in a given topic and thematic area, especially in the field of intelligent systems and artificial intelligence, characterized by high innovation. The project should include analysis, design and validation of the proposed solution. Due to its size, the project may be continued in the next semester as part of a similar subject","The aim of the subject is to practically solve a selected problem in a given topic and thematic area, especially in the field of intelligent systems and artificial intelligence, characterized by high innovation. The project should include analysis, design and validation of the proposed solution. Due to its size, the project may be continued in the next semester as part of a similar subject",Polish
32,Internet of Things and Intelligent Embedded Systems,5,"Knowledge of computer networks, especially wireless ones.",3.0,"basics of the construction, operation and architecture of IoT systems; standards for data exchange between devices in IoT systems; current and probable future scope of application of the Internet of Things; design, build and run a simple IoT system; use selected cloud computing services to create IoT applications; become aware of the social effects of the popularization of the Internet of Things, both positive and negative.","Definition and concept of the Internet of Things (IoT). History of the concept, areas and examples of utility and industrial applications, benefits. Development prospects. Wireless sensors, typical hardware and software solutions, operating systems used in IoT. Software used to create IoT applications. Introduction to the structure and architecture of the Internet of Things. Communication between devices in IoT, various topologies in such systems. Networks (wired and wireless) in IoS systems, communication protocols, IPv6 in the Internet of Things. Construction of network nodes, data exchange. Basics of Bluetooth technology and its application in IoT. Data processing in IoT systems. Application of cloud computing in the Internet of Things, the most important services and ways of using them. Application of the Microsoft Azur cloud platform. Applications of IoS such as: smart city, smart grid, smart building, smart health. Big data and the Internet of Things. Security and privacy issues related to IoT systems. Predictable social effects and problems related to the development of IoT.
Design exercises will involve designing, building, configuring, running, and testing simple IoT systems and applications using technologies discussed in lectures.","The course will present issues related to the use of Internet of Things systems, their structure, functioning, design and implementation, and the data exchange technologies used in them. In addition, the perspectives of IoT development and possible social effects will be discussed.",Polish
33,Discrete system simulation,5,Basic mathematics and physics as well as programming skills are required,2.0,The student knows and understands the subsequent stages of creating a model and computer simulation.; The student knows and understands the theoretical foundations of discrete simulations; The student is able to implement the subsequent steps of defining a model of a given system and creating a computer simulation; The student is ready to implement projects in a team and cooperate with other people,"Complex Systems, Discrete Simulation - Introduction Definitions of complex systems and the concept of discrete simulation. Objectives of creating models and simulations of complex systems. Introduction to modern modeling and simulation techniques. Review of simulation methods. Basic concepts. Characteristics of discrete simulations. Practical examples and applications
Discrete simulation basics. Principles of creating models. Characteristics of a good model. Types of models. Interpretation of theory and model implementation. Description of complex processes. Decomposition of a complex process. Designing simulations and implementing simulations. The issue of optimizing the simulation process. Simulation of discrete processes.
Cellular Automata Basic concepts related to cellular automata. Non-homogeneous, asynchronous and probabilistic cellular automata. The usefulness of individual types of automata in modeling and simulation. From a non-homogeneous automaton to an agent system. Application of cellular automata in modeling complex systems. Construction of algorithms and their optimization Practical examples of automata applications
Agent-based paradigm in discrete process simulation Definitions. The essence of ABM systems (Agent-based modeling). ABM systems and MAS systems (Multi-Agent Systems). The usefulness of agent systems in practical solutions. In which cases is it worth using the agent approach? The agent approach and other simulation methods. Time in agent systems. Stages of creating models
Calibration and Validation of Models The conceptual scope of model calibration and validation. Problems of model calibration. Stages of model validation and simulation. Discussion of practical cases related to model calibration and validation. ISO (and other) standards related to model calibration, validation and verification
Practical aspects of creating a discrete simulation Creating a discrete simulation using crowd dynamics as an example. Selecting a method depending on the scope of the simulation: queuing system, cellular automaton, molecular dynamics, agent system.
Applications of discrete simulation Discrete simulation in road traffic modeling. Application of agent system. Model development. Calibration and validation issues.","Complex systems, discrete simulation, Fundamentals of discrete simulation, Cellular automata, Agent paradigm in the simulation of discrete processes, Calibration and validation of models, Practical aspects of creating discrete simulation, Applications of discrete simulation.",Polish
34,Web application programming,5,,4.0,"basic technologies for building modern web applications (HTML 5, CSS3, JS); SPA application architecture and its application for creating modern web applications; basic principles related to building applications in client-server architecture; basics of the http protocol; concepts of component environments for creating modern web applications based on the ECMAScript language; create a simple website or application running on the browser side in a selected tool; independently design and create web applications using SPA architecture and component frameworks; use techniques and technologies (asynchronous programming, WebSockets) supporting the creation of web applications.","Introduction to web technologies Discussion of basic components of web applications: client, server, http protocol. http protocol as a foundation of web applications. The concept of http session - the main mechanism of web application. From a simple website to SPA (Single Page Application) - review of possible solutions and technologies. Communication with the server (sending and receiving data using XMLHttpRequest object - the basis of AJAX technology and its modern implementations (Ajax in JQuery, Fetch API)) The role of frontend and backend in modern web applications.
HTML5, CSS3, JavaScript as the foundation of web applications. Understanding the role of HTML, CSS, JavaScript in creating web applications. Basic technologies and frameworks. New tags and forms in HTML5. Basics of design and ergonomics. Techniques for building a page layout using new patterns: flex and grid. Creating Interactive pages using the HTML5 API (multimedia, geolocation, working with files, etc.). CSS3 - a way to separate content from appearance. The concept of cascading, the Box Model, Selectors and pseudo-classes, the BEM methodology. User interface animation: an overview of new features: transitions, transforms, frame animations, filters.
EMCS7, TypeScript JavaScript - its role in web applications. JavaScript - interactivity on the page (DOM model support + event model) Discussion of new language elements - EMCS7 version. TypeScript as an extension of JavaScript.
Frontend Layer Technologies Responsive Web Design - Principles of designing responsive pages (media Query) using the Bootstrap library Component frameworks in the frontend: Angular, React, Vue. Discussion of the most important concepts.
Angular in Detail An overview of the architecture and basic constructs of the Angular framework.
React in detail An overview of the architecture and basic constructs of the React library
MEAN stack - backend implementation based on JavaScript stack Discussion of individual components of the MEAN stack with special emphasis on NodeJS and ExpressJS. Building your own application server. Familiarization with the Mangoose library as an access mechanism to MangoDB. Refusal of basic CRUD constructs from the NodeJS level.
State Management and Reactive Programming in Web Applications RxJS Library and Flux Architecture (Redux as an Example) - Modern Ways to Deal with the Complexity of Web Applications Authorization and Authentication in the Context of the Architecture of the Entire System.",An introductory module to the topic of creating and operating web applications. The basics of languages ​​and technologies used to create websites and web applications are discussed.,Polish
35,Operating systems,5,,1.0,"The student knows and understands the basic concepts of synchronization problems, the synchronization mechanisms used, deadlock prevention and avoidance algorithms.; The student knows and understands the structure and functions of processes and threads and their management methods by the operating system.; The student knows and understands the organizational schemes of memory and virtual memory in operating systems.; The student knows and understands the basics of using segments for dynamically connecting modules, the dynamic connecting process, the structure of the process implemented by the operating system.","The first two lectures (4 hours) are a general introduction, covering topics such as: • the role and tasks of the operating system, • the location of the operating system (especially the kernel) in the software structure of a computer system, microkernel architecture. • classification of operating systems (centralized, networked, distributed), • the general principle of operation of an operating system (the way control is transferred to the kernel program), • the concept of a process, resource and thread; user-level threads, kernel threads, lightweight processes, multithreading models.
The next three lectures (6 hours) deal with the issues of concurrent processing and process synchronization. Initially, these issues are discussed at the architectural level, without significant support from the operating system (apart from the implementation of the process concept). The scope of this module therefore includes such issues as: the concept of atomic instruction and interleaving, the essence of synchronization and correctness of concurrent programs (safety and liveness). These concepts are illustrated with example solutions to the mutual exclusion problem, including Peterson's algorithm, Lamport's algorithm and solutions based on the atomic instructions test&set and exchange. Then, the synchronization mechanisms supported by the operating system or high-level programming language are discussed: • semaphores - their classification and implementation, • POSIX standard mechanisms - locks and condition variables, • monitors and critical regions. Examples of the use of the above mechanisms are shown in solutions to classical synchronization problems: producer and consumer, readers and writers, five philosophers, sleeping hairdressers and the implementation of a generalized semaphore using binary semaphores. Finally, the mechanisms of synchronization in a distributed environment are discussed: messages, remote procedure/method invocations, and rendezvous. The next lecture (2 hours) is devoted to deadlock — describing the phenomenon itself and discussing methods of counteracting it. The following are presented: necessary conditions of deadlock in the context of recoverable and non-recoverable resources, definition of deadlock, description of the system state for the purposes of deadlock analysis — allocation graph and waiting graph and their specific properties. As for counteracting it, the following approaches are discussed: deadlock prevention, deadlock avoidance (including the banker's algorithm), deadlock state detection and briefly the rules for removal.
the next two lectures (4 hours) discuss memory management issues. The first module focuses on memory management, including: memory division, memory allocation and address transformation, in particular in paged and segmented memory systems. On this occasion, the phenomenon of internal and external fragmentation is discussed, as well as the problem of memory protection and sharing. The second module concerns the implementation of virtual memory (paging and segmentation). The page fault phenomenon, its handling and basic problems related to it are discussed, i.e. the problem of page exchange and the problem of resuming instructions. The majority of the module is devoted to exchange algorithms - their classification, operation, applications and implementation issues. The next lecture (2 hours) concerns the use of segments during program execution by the operating system and the forms of the program during processing by the compiler/assembler, the linker, the loader, program modules. The next one (2 hours) discusses the form of modules, the linker, the process of static linking, the loader, the process of loading the program into memory, the program segment. The modular form of a program in memory, the problem of dynamic linking, internal, remanent, external objects, methods of dynamic linking are the subject of the next lecture (2 hours). The following will be discussed in the next lecture (2 hours): • Dynamic linking, the environment of process execution segments, examples of including modules at runtime, the form of the “object” module in dynamic linking. • The file system. The structure of files and directories. Disk space allocation. The following will be discussed in the next lecture (2 hours): • Input-output management. • The role of device drivers. The last lecture (2 hours) is a summary lecture.","Fundamentals of operating systems, principles of their operation. Rudimentary problems related to the management of computer system resources and algorithms for their solution.",Polish
36,Digital image processing,5,,3.0,"Has structured knowledge of the mathematical foundations of 2D image frequency transforms, and basic methods of image analysis and compression.; Has structured knowledge of color representation systems in images, pre-processing algorithms.; Is able to independently implement image processing, compression and analysis algorithms in a dedicated software environment.; Is able to indicate key application areas for image processing and analysis issues and understands the great importance of their use for the economy and the environment.","Basic, selected theoretical issues of image processing, analysis and compression.
Programming selected image processing, analysis and compression algorithms in the selected programming language or programming environment.","Digital image acquisition – devices; sampling; quantization. Basic methods of digital image processing: image quality improvement; arithmetic operations; context methods: filtration and removal of interference, edge detection, nonlinear operations. Morphological methods. Digital image analysis: segmentation; indexation, determination of object parameters; shape coefficients; moment invariants; Image processing in the frequency domain: Fourier transform, DCT transform, JPEG compression.",Polish
