,course_name,semester,prerequisites,ects,effects,aims,program_content,program_content_ensuring_outcomes,language
22,Software engineering,4,"The general knowledge of languages and programming process foreseen in the course plan and curriculum for a given semester. The basis of mathematics (logic, graphs)",5.0,,,"The content of those classes strengthen and broaden the knowledge gained from lectures. Their aim is to analyze and create a project of an IT class system within a selected domain field.
The content of those classes strengthen and broaden the knowledge gained from lectures. Their aim is to provide information about advanced tools for creating models and practical implementation of selected UML diagrams.
1. Introduction. Models, forward and backward engineering. 2. Structured analysis/design and object-oriented system development. 3. Unified Modeling Language (UML). The origin and basic concepts. Modeling of system functionality, static structures, interactions and system behaviours, implementation aspects. Expansion mechanisms. Language OCL. 4. Software life cycles. 5. Design patterns: elements of reusable software. 6. Software architectural pattern. 7. Introduction to RUP. 8. Risk management in software development. 9. Software effort estimation techniques.","Knows and understands software engineering processes, cooperates within a project team",English
23,Formal Languages and Compilers,5,,5.0,,,"Project in formal languages and compilers: Student implements a larger translator, compiler or interpreter.
Labs in formal languages and compilers: Programming assignments: (1) lexical analyzer (scanner) (3) grammar specification and parser (2) abstract syntax tree (4) type checker and semantic analyser (5) code interpreter or generator
Lectures on formal languages and compilers: (1) Introduction: alphabet, string, language, grammar (2) Regular expression, finite automata (3) Transformations of finite automata (4) Introduction to translation (5) Lexical analysis, scanner, flex/PLY (6) Grammars, context-free grammars (7) Push-down automata (8) Syntax analysis (9) LL parsing (10) LR parsing, bison, PLY (11) Semantic analysis, type-checking, attributive grammars (12) Intermediate code generation, stack frames (13) Code optimization, program analysis (14) Assemby code, target code generation
Labs in formal languages and compilers: Programming assignments: (1) lexical analyzer (scanner) (3) grammar specification and parser (2) abstract syntax tree (4) type checker and semantic analyser (5) code interpreter or generator (6) code optimizer","Students will learn how to design a finite automaton and lexical analyzer,
design a context-free grammar, construct an abstract syntax , implement a parser and an interpreter.",English
24,Introduction to Artificial Intelligence,5,Student must know: - Object-oriented programming,5.0,,"The goal is to introduce the students into the domain of Artificial Intelligence (AI): theory, models, methods, tools, and applications.","Discussion and explanation of the subject/course syllabus during the first class. Discussion of teaching content and supporting materials (literature, websites). Introduction: history, systems, methods, areas of application. AI definitions. Architecture of intelligent systems. Knowledge base systems (KBS). The concept of an intelligent agent. Methods of representing and processing symbolic knowledge. Logic in AI. Examples of problems. Classification of models, methods and tools. State space search algorithms. Heuristic search methods. Prolog and logic programming as AI tools. Programming with constraints. Rule systems, expert systems and business rules. Decision support systems. Planning. Automatic generation of plans. Tutored and unsupervised machine learning. Semantic web and ontologies. Probabilistic methods. The Bayesian rule and networks. Other selected AI issues. Summary. Development directions.",Subject gives information on the most popular methods developed and applied in the area of Artificial Intelligence and Machine Learning,English
25,Software studio II,5,"Knowledge of methodologies of software analysis and design, programming skills",3.0,,,"The aim of the subject is to create a real project within a specific topic and thematic area with phases typical for IT projects, hence starting from the requirements engineering phase through the analysis phase, the general and detailed design phase, the implementation in a selected language, integration and finally, the testing and implementation phases. The project should also incorporate numerous important aspects such as: the choice of methodology for creating the project, the choice of software life-cycle, developing a timetable, the analysis of software architectures, versions and software configurations management and others.",The module aims to familiarize students with software engineering processes and cooperation within a project team when participating in software projects.,English
26,Digital Electronics and Microprocessors,5,Basic knowledge of theory of circuits and signals,5.0,,Transfer of basic knowledge in the field of digital electronic circuits and microprocessors,"1. Transmission line Educational outcomes: the student is able to determine the reflection coefficients of the line depending on the load student is able to determine the conditions of matching the input and output of the line on the basis of the observed course student is able to give the conditions of the capacitive effect of a long line student is able to determine the damping coefficient of the long line 2. Combinational systems Educational outcomes: student is able to perform basic logic functions in the form of sum products: NOT, AND, NAND, OR, NOR, XOR, XNOR student is able to design a simple multiplexer 2 to 1 and generalize the project for a larger number of inputs the student can build a decoder code 1 from 8 into a 7-segment display code student can build a binary code decoder for a 7-segment display code 3. Sequential systems Educational outcomes: student can build a counter with a given capacity, counting in the binary code, forward, backward and reversible student can build a numerator counting in Gray's code student can build a converter from gray code to BCD code 4. Finite state machine Educational outcomes: student is able to independently design and build a digital system that accomplishes the assumed task student is able to verify the operation of the constructed system 5. HDL in FPGA 6. Assembler in microprocessor.
Introduction to electronics. Diodes, Bipolar transistors and MOS transistors. Basics of digital electronics. Boolean algebra. Karnough maps. Minimization of logic functions using the full sum method and full products. Inverter as the basic gate of digital electronics. Static and dynamic properties of digital gates. Combinational static logic. Static CMOS logic family. Sequential synchronous and asynchronous logic. Memory mechanism. Construction and operation of static D latches and flip-flops. Counters, registers, summing and multiplying circuits. Finite state machine (FSM). Mealy and Moore systems. Binary arithmetics, number representations. Hardware description languages. Designing electronic circuits using CAD tools. FPGA - Field Programmable Gate Arrays. ALU unit and microprocessor structure. Asembler and machine code. Microprocessors in embedded systems.
1. Basics of digital electronics. Boolean algebra. Karnough maps. Minimization of logic functions using the full sum method and full products "" - the student is able to minimize the logic function, in a symbolic way, as well as using Karnough maps 2. Combinational static logic. PUN and PDN networks. Families of static logic complementary CMOS: - student is able to design and implement any combinational logic gate in CMOS technology at the level of transistors (e.g. 3. Sequential synchronous digital circuits: - student is able to design and implement basic sequential circuits at the level of flip-flops and logic gates (eg counters) 4. Counters and registers as typical FSM circuits. 5. Binary arithmetics and number representations. 6. Description of logic gates using Hardware Description Language. 7. Basic programming statements using assembler",The above classes should enable the student to understand the operation of basic digital electronic circuits and microprocessors.,English
27,Cybersecurity,6,"In order to participate in the course, the student shall have basic knowledge of communication protocols (e.g. TCP/IP), cryptography (SSL/PKI), databases (SQL), operating systems and web applications.",5.0,,,"Students are required to complete an assigned case-study project related to either security research/assessment or designing of security measures for the defined system.
Cybersecurity Basics: This topic will cover basic definitions, the issue of system complexity, and a number of samples and statistics related to security issues around the world.
Penetration tests: A number of guided penetration tests of a provided web application
Web Applications: The subject covers implementation of authR/authN (and related issues for web applications), and common attacks against the web applications as well as their users. This includes the OWASP Top 10 as well as some less common examples. Some of the key OWASP projects will also be discussed.
Basic cryptography: Encryption and decryption of messages, setting up a CA for PKI, etc.
Network traffic control: Monitoring of network traffic, setting up of a sample rule-based firewall configuration. Web Application Firewall.
Malware: The malware will be discussed in terms of their proliferation methods as well as their abilities to perform specific tasks at the infected machines. Some specific examples of the malware will be presented in more detail, together with some statistics, trends and geographical distribution. Discussion of bot-nets, and malware for mobile phones.
Cryptography: This subject will cover an applied cryptography - symmetric and asymmetric encryption, available algorithms and their properties, digital signing and Public Key Infrastructure.
Network, IoT & OS security: This topic will include network and OS-related attacks and vulnerabilities, including exploitation of the communication protocols. Part of the subject will be dedicated to wireless network and their related issues.
Social engineering & procedures: This will cover various technical and non-technical (mostly sociological) methods to convince users to do things they shouldn't do. Includes phishing, baits, abuse of procedures and/or human behavioral patterns, etc.
Risk assessment & secure development: There is no such thing as absolute security. In order to manage and improve the security of software system and applications, software development must incorporate tools and procedures to assess the risks, and manage the SDLC in a way that will allow to control the security issues. This topic will cover current best practices, standards and security audits.",The course will cover various aspects of systems' security. Students who complete the course will be aware of various threats and protection/prevention techniques and basics of risk management.,English
28,Web application technologies,6,"The course has following prerequisites: * basic knowledge of operating systems, * basic knowledge of computer networks.",5.0,,Familiarising students with technologies fundamental for web application development; Passing knowledge about good practices in web design; Making students aware about the distinction between content and styling in web applications; Building strong understanding of web application architectures,"History of the web, network foundations and protocols used for web application development
Design of websites: HTML, CSS, responsive design, basics of typography
Client-side interaction: JavaScript and related frameworks
Server-side development: building and deploying web apps using Flask and other technologies, designing REST APIs for communication with front-end",The course focuses on practical aspects of creating web apps. Students will learn modern technologies on laboratories and later will practice it in their projects deployed on the cloud.,English
29,Embedded systems,6,Student must know: - Programming fundamentals - Microcontrollers,5.0,,,"Embedded Systems Labs: Arduino - Introduction and description of rules, - Communication through serial ports, - Implementation of simple procedures for LED diods, - Functionality of microcotroller interruptions, - Connection of LCD - implementation of dedicated procedures, - Temperature measurements - integration with Arduino and implementation, - Gyroscope - integration with Arduino and implementation, - Design and implementation of communication protocol for Arduino - Arduino. RPi - Raspberry Pi - fundamentals, GPIO (General Purpose Input/Output) interface, - Integration of rangefinder and servo with RPi - software implementation, - Integration of camera with RPi, - Design and implementation of communication software for PC - RPi. Beacon - Communication testing for various devices and scenarios.
Embedded Systems Lectures: Introduction to embedded systems - Rules, - Fundamentals of electronics. Arduino - GPIO - communication interface, - PWM (ang. Pulse-Width Modulation) - possibilities of signal control, - DC engines - integration and control, - Internal and external interruptions, - Peripherical devices e.g. bluetooth, accelerometer, hygromeyter, termometer, LCD, GPS, - Software implementation for PC - Arduino communication. Raspberry Pi - Communication protocols: SPI, IIC, - Peripherical devices: cameras, servos, engines, - Software implementation for PC - RPi communication, - Real time operation systems for RPi. Beacons - Review of devices and theri applications
Embedded Systems Project: Design of microcontroller with selected peripherical device, implementation of software for Arduino and RPi.",Subject gives information on design of devices based on the most popular microcontrollers on the market. The part of the lectures and classes is focused on software implementation aspects.,English
30,Professional practice,6,n/a,4.0,,The aim of the module is to put into practice the skills acquired during the studies and to learn the specifics of the real workplace.,The professional practice internship takes place after the 6th semester of study in Computer Science. It aims at understanding the specifics of the IT engineer work similar to the future workplace of a graduate in the field of Information Technology.,Student will have the opportunity to use the knowledge gained during the studies in professional practice.,English
31,Final Project,7,Knowledge of subjects mastered during studies related to the thesis topic.,15.0,,,Preparation of the diploma thesis,"Diploma thesis is an independent development of a solution for a specific scientific problem related to the field of study, an engineering task with a clearly defined goal with a strong practical aspect.",English
32,Diploma Seminar,7,,1.0,,"To equip students with the fundamental principles of engineering thesis preparation and presentation skills.; To enable students to effectively discuss the purpose, scope, and progress of their engineering projects and to successfully defend their thesis.","In the first part of the course, the lecturers present the basic principles of preparation of engineering work and presentation for a thesis defense. In the rest of the course, students prepare presentations, which aim to discuss the purpose, scope and current progress of their engineering works. The course aims to prepare students for the thesis defense.",The aim of the seminar is to prepare students for the diploma exam.,English
