conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q1127759,cognitive bias,systematic pattern of deviation from norm or rationality in judgment due to subjective perception of reality,Q147638,cognitive science
Q2254125,sonic black hole,phenomenon,Q82811,acoustics
Q2255704,MPP,Dutch political science term,Q36442,political science
Q2260567,medical scale,type of system,Q11190,medicine
Q2261068,telling time,activity of reckoning the local time,Q382451,narratology
Q2263094,metabolic network,Set of biological pathways,Q131476,graph theory
Q2266173,speech segmentation,process (mental or computational) of analyzing spoken natural language to identify its constituents,Q30642,natural language processing
Q2267821,Bulgarian literature,literature written by Bulgarians or residents of Bulgaria,Q4090659,Bulgarian studies
Q2269229,triangle of reference,model in semiotics,Q957366,semiology
Q2270666,7-cube,7-dimensional hypercube,Q131476,graph theory
Q2271162,9-cube,9-dimensional hypercube,Q131476,graph theory
Q2271421,sentiment analysis,"use of natural language processing, text analysis and computational linguistics to identify and extract subjective information in source materials",Q30642,natural language processing
Q2274240,Servicewüste,German catch phrase,Q39809,marketing
Q2275419,culture of Finland,pattern of human activity and symbolism associated with Finland and its people,Q362748,Finnish studies
Q2275697,natural gender,"linguistic concept to discuss aspects of gender of words’ referents, as opposed to the noun class (grammatical gender) of the words themselves",Q8162,linguistics
Q2281438,selection,term in horticulture,Q113042094,horticultural crop improvement
Q2282401,analyte,"chemical substance being analyzed, especially in clinical chemistry",Q2346,analytical chemistry
Q2285054,<<signal>>,data model element in the Unified Modeling Language,Q169411,Unified Modeling Language
Q2285084,Reception,model element in the Unified Modeling Language,Q169411,Unified Modeling Language
Q2285545,Christian liturgy,pattern for worship used by a Christian congregation or denomination,Q110155603,liturgical studies
Q205439,Zipfelpass,German term: A document and a part of a marketing strategy,Q39809,marketing
Q205445,Ziphodont,scientific technical term of paleontology and zoology: describes the condition of teeth in certain vertebrates,Q7205,paleontology
Q205445,Ziphodont,scientific technical term of paleontology and zoology: describes the condition of teeth in certain vertebrates,Q431,zoology
Q205740,Egyptian mythology,myths of the Ancient Egyptians,Q145903,Egyptology
Q205768,sedimentology,study of natural sediments and of the processes by which they are formed,Q1069,geology
Q205895,landmass,"contiguous area of land surrounded by ocean; large continuous area of land, either surrounded by sea or contiguous with another landmass",Q8008,earth science
Q205982,circus pedagogy,method of social work which combines artistic skill and educational action,Q7922,pedagogy
Q205982,circus pedagogy,method of social work which combines artistic skill and educational action,Q205398,social work
Q206307,Zitiergebot,Term used in German jurisprudence,Q207892,public law
Q206494,Transport Layer Security,cryptographic protocols for securing data in transit,Q3510521,computer security
Q1132455,hazard,source of a potential threat,Q3614972,hazard analysis
Q1133705,galaxy filament,thread-like structures that form the boundaries between large voids in the universe,Q37547,astrophysics
Q1133938,trust,"anti-competitive large grouping of business interests; a large corporation, corporate group, or trade association that holds a dominant position in its sector of activity",Q8134,economics
Q1134199,Ulster Cycle,group of old Irish tales and legends,Q963619,medieval literature
Q1134228,canopy,portion of a plant community or crop formed by plant crowns,Q811590,canopy research
Q1134306,synthesis,process in philosophy of generating a third proposition from two starting propositions in apparent conflict,Q5891,philosophy
Q1134763,corporate finance,area of finance dealing with the sources of funding and the capital structure of corporations,Q43015,finance
Q1135389,subtitle,secondary or alternate title of a work,Q199655,library science
Q2123335,property,type of class member in object-oriented programming which is accessed like a field but implemented as subroutine(s),Q21198,computer science
Q2131656,history of the Dutch language,aspect of history,Q1987969,Dutch studies
Q2134522,Reactome,database of biological pathways,Q54837,Semantic Web
Q2135465,legal concept,lexeme with a specific meaning in jurisprudence,Q382995,legal science
Q2135465,legal concept,lexeme with a specific meaning in jurisprudence,Q4932206,jurisprudence
Q2136464,Reeb graph,a type of graph describing the topological structure of the level sets of a real-valued function on a manifold,Q131476,graph theory
Q2137499,infiltration basin,form of engineered sump or percolation pond,Q146326,environmental engineering
Q2138124,gonopod,specialized reproductive appendages in arthropods,Q2845653,arthropod anatomy
Q2138208,tree crown,"part of tree, above the trunk",Q38112,forestry
Q2138304,regional geology,study of geologic regions,Q1069,geology
Q2138622,nutrition,the provision to cells and organisms to support life and growth,Q17652193,nutritional science
Q838129,process simulation,model-based representation of processes,Q113161374,process control and simulation
Q838948,work of art,aesthetic item or artistic creation,Q55336315,art
Q838948,work of art,aesthetic item or artistic creation,Q50637,art history
Q839399,Carbon Credit,tradeable certificate used in carbon mitigation policy systems,Q919526,environmental policy
Q839399,Carbon Credit,tradeable certificate used in carbon mitigation policy systems,Q328798,environmental law
Q839411,19th-century French literature,literature-related events in France during the 19th century,Q6689,French literature
Q839721,interactivity,"interaction between two or more arbitrary quantities, things or persons",Q207434,human–computer interaction
Q839954,archaeological site,place (or group of physical sites) in which evidence of past activity is preserved,Q23498,archaeology
Q807926,Barcheck,method for on-site calibration of a surveying sonar,Q816425,surveying
Q809690,barycenter,"center of mass of two or more bodies that are orbiting each other, or the point around which they both or all orbit",Q333,astronomy
Q809690,barycenter,"center of mass of two or more bodies that are orbiting each other, or the point around which they both or all orbit",Q37547,astrophysics
Q809898,baseball statistics,quantities observed and recorded for baseball players and games,Q1187231,sabermetrics
Q810566,baton sinister,heraldic charge,Q18336,heraldry
Q811102,building type,Wikidata metaclass for building and architectural typology,Q12271,architecture
Q811102,building type,Wikidata metaclass for building and architectural typology,Q11023,engineering
Q811115,construction management,all construction activities over the entire life cycle of a building,Q2920921,management
Q811115,construction management,all construction activities over the entire life cycle of a building,Q2674423,construction engineering
Q811148,waist circumference,biomedical measurement,Q6656244,anthropometry
Q811339,design of buildings,appearance or basic concept of a structure or component,Q12271,architecture
Q811671,builders' rites,a sacrifice made before or during the erection of structures,Q9174,religion
Q811979,architectural structure,human-designed and -made structure,Q12271,architecture
Q2141130,continuity,"in a narrative, the consistency of characteristics of people, plot, objects, and places seen by the reader or viewer over time",Q382451,narratology
Q2141256,coalescence,process by which two phases merge to form a larger one with a lower total surface area,Q11473,thermodynamics
Q2142270,Liquation,metallurgic method,Q11473,thermodynamics
Q2142457,dead water,"nautical term for a phenomenon which can occur when a layer of fresh or brackish water rests on top of denser salt water, without the two layers mixing",Q43518,oceanography
Q2142517,recrystallization,process by which deformed grains are replaced by a new set of defect-free grains that nucleate and grow until the original grains have been entirely consumed,Q228736,materials science
Q2142577,Semitic studies,study of the Semitic peoples,Q476294,oriental studies
Q2142602,rehabilitation,penological process to make a person again a functional part of society,Q818670,penology
Q2142602,rehabilitation,penological process to make a person again a functional part of society,Q113115825,correctional theory
Q2142602,rehabilitation,penological process to make a person again a functional part of society,Q205398,social work
Q2142613,social distance,distance between different groups in society,Q21201,sociology
Q2143054,material culture,physical aspect of culture in the objects and architecture that surround people,Q15873402,history of the book
Q2143054,material culture,physical aspect of culture in the objects and architecture that surround people,Q23498,archaeology
Q2143054,material culture,physical aspect of culture in the objects and architecture that surround people,Q23404,anthropology
Q2143054,material culture,physical aspect of culture in the objects and architecture that surround people,Q50637,art history
Q2143968,basement,"in geology, the crystalline rocks lying above the mantle and beneath all other rocks and sediments",Q334823,structural geology
Q2144300,rate-of-return regulation,system for setting the prices charged by government-regulated monopolies,Q8134,economics
Q2145290,mental representation,hypothetical internal cognitive symbol that represents external reality,Q147638,cognitive science
Q2145956,capacity management,part of project management,Q179012,project management
Q2146063,vestibular nerve,branch of the vestibulocochlear nerve,Q189553,otolaryngology
Q2146489,retouching,reworking small areas of a photograph,Q11633,photography
Q844569,identity,"qualities, beliefs, personality, looks and/or expressions that distinguish a person or group",Q34749,social science
Q844718,theory of computation,subfield of computer science,Q21198,computer science
Q844718,theory of computation,subfield of computer science,Q16387,information science
Q844792,thermal Hall effect,magneto-thermic effect in metals,Q11473,thermodynamics
Q845214,biota,"plants, animals, fungi and microorganisms of a region",Q420,biology
Q845214,biota,"plants, animals, fungi and microorganisms of a region",Q7150,ecology
Q845371,void,vast empty spaces between filaments which contain very few or no galaxies,Q37547,astrophysics
Q845566,debugging,process of finding and resolving defects or problems within a computer program,Q80006,computer programming
Q845787,histrionic personality disorder,personality disorder characterized by excessive emotionality and attention-seeking,Q9418,psychology
Q845787,histrionic personality disorder,personality disorder characterized by excessive emotionality and attention-seeking,Q7867,psychiatry
Q216200,legal norm,"commandment, instruction, or order intended as an authoritative rule of action",Q1938208,legal institution
Q216200,legal norm,"commandment, instruction, or order intended as an authoritative rule of action",Q7748,law
Q216378,usability,"learnability and ease-of-use of a helpful tool, system, etc. intended for human use",Q1061656,interaction design
Q216378,usability,"learnability and ease-of-use of a helpful tool, system, etc. intended for human use",Q207434,human–computer interaction
Q216665,incunable,"genre of publication, book, pamphlet, or broadside that was printed before the year 1501 in Europe",Q1663772,incunabula studies
Q216672,history of Romania,"history of Romania, a country in Eastern Europe",Q7787,history of Europe
Q216685,orthopedics,branch of medicine dealing with the correction of deformities of bones or muscles,Q40821,surgery
Q216861,calculus of variations,differential calculus on function spaces,Q113208892,"calculus of variations, systems theory and control theory"
Q217086,story,concept in narratology: chronologically ordered sequence of events detached from its presentation in a narrative work,Q382451,narratology
Q217438,demonym,name for a resident of a locality,Q21201,sociology
Q217438,demonym,name for a resident of a locality,Q37732,demography
Q218005,sum,addition of a sequence of numbers,Q395,mathematics
Q218169,tenné,"In heraldry non-standard tincture, of orange, brown or orange-tawny colour",Q18336,heraldry
Q218541,customs agreement,bilateral or multinational agreements to form a common customs territory,Q582577,economic policy
Q218541,customs agreement,bilateral or multinational agreements to form a common customs territory,Q4394526,international law
Q218810,customs administration,a partial region of public administration,Q31728,public administration
Q220300,zoom factor,ratio of the longest and the shortest focal length of a zoom lens,Q11633,photography
Q220384,zootomy,anatomy of animals including humans,Q431,zoology
Q220409,braid group,mathematical concept in knot theory,Q849798,knot theory
Q220551,diabetes insipidus,"human disease, a condition characterized by large amounts of dilute urine and increased thirst",Q177635,nephrology
Q220551,diabetes insipidus,"human disease, a condition characterized by large amounts of dilute urine and increased thirst",Q162606,endocrinology
Q220849,digital signature,mathematical scheme for verifying the authenticity of digital documents,Q8789,cryptography
Q220989,nystagmus,condition of involuntary eye movement,Q189553,otolaryngology
Q220989,nystagmus,condition of involuntary eye movement,Q83042,neurology
Q220997,vertex-transitive graph,graph whose automorphism group acts transitively upon its vertices,Q131476,graph theory
Q221392,observable universe,spherical region of the Universe comprising all matter that can be observed from Earth at the present time,Q338,cosmology
Q2502322,usability lab,site of usability testing,Q1193625,social science methodology
Q2505202,Mubah,islamic jurisprudential term denoting an action that has no specific ruling,Q482752,sharia
Q2509271,Jewish ethnic divisions,communities of varying ethnicities that adhere to Judaism,Q108823107,Jewish communities studies
Q2514663,worship,act of religious devotion,Q9174,religion
Q2515874,behavior,externally visible movements of humans and animals,Q9418,psychology
Q2515887,pattern of behavior,type of behavior,Q3919817,behavioral sciences
Q2516371,transport policy,area of public policy concerned with transportation and transportation infrastructure,Q2516517,transport sciences
Q2516371,transport policy,area of public policy concerned with transportation and transportation infrastructure,Q36442,political science
Q2516371,transport policy,area of public policy concerned with transportation and transportation infrastructure,Q7163,politics
Q2516403,traffic management,"branch within logistics; concerns the planning, control and purchasing of transport services needed to physically move vehicles",Q114588918,transport management
Q2516453,traffic engineering,application of traffic engineering theory to telecommunications,Q1061219,telecommunications engineering
Q2516517,transport sciences,academic discipline about transcript vehicles,Q775325,transportation engineering
Q2518716,imaginary,"set of values, institutions, laws, and symbols through which people imagine their social whole",Q23404,anthropology
Q2518716,imaginary,"set of values, institutions, laws, and symbols through which people imagine their social whole",Q21201,sociology
Q2519137,cochlear nerve,nerve carrying auditory information from the inner ear to the brain,Q189553,otolaryngology
Q2520723,Administrative Procedure Law,"Part of the law in Germany, which deals with the legal proceedings in the administrative courts",Q207892,public law
Q2520728,administrative law in Germany,"part of public law, regulates all aspects of the State Administration (Germany)",Q207892,public law
Q219060,Palestine,country in West Asia,Q125017173,Palestine studies
Q219067,physical exercise,bodily activity that enhances or maintains physical fitness and overall health and wellness,Q1298380,sports science
Q219087,military strategy,use of force or threat of violence focused for political purposes,Q2560087,military art
Q2797206,assai,Technical term of musicology,Q164204,musicology
Q2800071,perfect graph theorem,theorem in graph theory,Q131476,graph theory
Q2801621,psychiatric nursing,specialty applying psychiatric principles in caring for the mentally ill,Q121176,nursing
Q2803762,spiritual dryness,God's absence felt by a believer,Q34187,religious studies
Q2803762,spiritual dryness,God's absence felt by a believer,Q34178,theology
Q2803762,spiritual dryness,God's absence felt by a believer,Q9174,religion
Q2806753,Thomassen graph 105,planar graph with 105 vertices and 170 edges,Q131476,graph theory
Q2806923,Balaban 11-cage,cubic graph with 112 vertices and 168 edges,Q131476,graph theory
Q2806925,110-vertex Iofinova–Ivanov graph,semi-symmetric cubic graph with 110 vertices and 165 edges,Q131476,graph theory
Q2813835,Thomassen graph 20,graph with 20 vertices and 33 edges,Q131476,graph theory
Q2814078,2005 in astronomy,astronomy-related events in Ireland during the year of 2005,Q50056,history of astronomy
Q2816161,Thomassen graph 32,hypohamiltonian graph with 32 vertices and 33 edges,Q131476,graph theory
Q2816238,Thomassen graph 34,graph with 34 vertices and 52 edges,Q131476,graph theory
Q2816329,Zamfirescu graph 36,graph with 36 vertices and 54 edges,Q131476,graph theory
Q2816743,Thomassen graph 41,asymmetric graph with 41 vertices and 64 edges,Q131476,graph theory
Q2816778,Grinberg graph 42,"cubic, nonhamiltonian graph with 42 vertices",Q131476,graph theory
Q2816779,Faulkner–Younger 42-graph,strongly regular graph with 42 vertices and 63 edges,Q131476,graph theory
Q2816826,Faulkner–Younger 44-graph,graph with 44 vertices and 66 edges,Q131476,graph theory
Q2816827,Grinberg graph 44,"cubic, nonhamiltonian graph with 44 vertices",Q131476,graph theory
Q2816873,Grinberg graph 46,"cubic, nonhamiltonian graph with 46 vertices",Q131476,graph theory
Q2816902,Zamfirescu graph 48,hypohamiltonian graph with 48 vertices and 76 edges,Q131476,graph theory
Q2817910,Thomassen graph 60,hypohamiltonian graph with 60 vertices and 99 edges,Q131476,graph theory
Q2818267,Zamfirescu graph 75,graph with 75 vertices and 120 edges,Q131476,graph theory
Q2818300,Ellingham–Horton 78-graph,graph with 78 vertices and 113 edges,Q131476,graph theory
Q2818688,Horton 92-graph,bicubic graph with 92 vertices and 113 edges,Q131476,graph theory
Q2818709,Thomassen graph 94,regular graph with 94 vertices and 141 edges,Q131476,graph theory
Q2823701,preventive action,change implemented to address a weakness in a management system as a precaution,Q189447,risk management
Q2823784,Actuel,French term or philosophical concept,Q5891,philosophy
Q2826579,urban planning agency,type of business entity legally defined in French law by the Article L132-6 of the Code of urban planning,Q69883,urban planning
Q2827229,agroclimatology,branch of climatology concerned with the impact of climate on agriculture,Q52139,climatology
Q2827815,international aid,voluntary transfer of resources from one country to another,Q166542,international relations
Q2835765,optimization algorithm,algorithm for finding the optimum or optima of a function,Q141495,mathematical optimization
Q2839806,paleoceanography,study of the history of the oceans in the geologic past,Q43518,oceanography
Q2840994,Aman,islamic term for offering security or pardon to enemies,Q482752,sharia
Q2843407,developmental process,biological process whose specific outcome is the progression of an integrated living unit,Q1044484,evolutionary developmental biology
Q211274,Polish People's Republic,country of the Warsaw Pact and Eastern Bloc from 1947 to 1989,Q199569,history of Poland
Q211439,fodder,nutrition for all animals kept by humans,Q80962,animal husbandry
Q211606,social structure,aggregate of patterned social arrangements in society,Q34749,social science
Q211606,social structure,aggregate of patterned social arrangements in society,Q21201,sociology
Q211606,social structure,aggregate of patterned social arrangements in society,Q15148892,analysis of social structure
Q211981,Hartman–Grobman theorem,theorem,Q7754,mathematical analysis
Q212114,history of the European Union,aspect of history about the formation and evolution of the European Union,Q7787,history of Europe
Q212344,inner ear,innermost part of the vertebrate ear,Q189553,otolaryngology
Q1143845,Axiom of Cumulative Inertia,"sociological phenomenon, introduced in 1966 by Myers, McGinnis and Masnick, that the probability of remaining in a state increases the longer one has remained in that state",Q21201,sociology
Q1144248,Bangla literature,literature in Bengali language,Q18110384,Bangla studies
Q1145106,recorded history,historical narrative based on a written record or other documented communication,Q1066186,study of history
Q1145106,recorded history,historical narrative based on a written record or other documented communication,Q50675,historiography
Q1145644,biomimetics,"imitation of biological systems to understand underlying mechanisms and to obtain ideas from nature to benefit science, engineering, and medicine",Q189131,bionics
Q1146448,thermodynamic free energy,concept in thermodynamics,Q11473,thermodynamics
Q1147152,cognitive behavioral therapy,"psychotherapeutic approach that addresses dysfunctional emotions, behaviors and cognitions",Q9418,psychology
Q1147615,international human rights law,body of international law designed to promote human rights,Q113001579,human rights law
Q1147615,international human rights law,body of international law designed to promote human rights,Q113001577,International humanitarian and human rights law
Q1148098,harmonic,component of a wave whose frequency is a multiple of the fundamental frequency,Q193544,music theory
Q1148098,harmonic,component of a wave whose frequency is a multiple of the fundamental frequency,Q82811,acoustics
Q1148989,water balance,looks at how water moves in a closed system,Q42250,hydrology
Q1149305,disposition,tendency of a person to act in a specified way,Q9418,psychology
Q1149305,disposition,tendency of a person to act in a specified way,Q521,physiology
Q1149305,disposition,tendency of a person to act in a specified way,Q5891,philosophy
Q2624098,Imbrium,Lunar geological period,Q386638,lunar geologic timescale
Q2624576,petrogenesis,processes that form rock,Q163082,petrology
Q2624918,phthisiology,"care, treatment, and study of tuberculosis of the lung",Q203337,pulmonology
Q2627395,surface-water hydrology,sub-field of hydrology concerned with above-earth water,Q42250,hydrology
Q2627460,conjugate variables,pair of variables (such as temperature and entropy) that thermodynamic potentials are expressed by,Q11473,thermodynamics
Q2627617,freshet,spring thaw resulting from snow and ice melt in rivers,Q182468,hydrography
Q2630994,magnetic saturation,"(in some magnetic materials) state reached when an increase in applied external magnetic field H cannot increase the magnetization of the material further, so the total magnetic flux density B more or less levels off",Q228736,materials science
Q830687,reinforcement learning,"type of machine learning where an agent learns how to behave in an environment by performing actions and receiving rewards or penalties in return, aiming to maximize the cumulative reward over time",Q2539,machine learning
Q831024,polytropic process,type of thermodynamic process,Q11473,thermodynamics
Q831304,Condorcet criterion,An electoral system criterion for systems that choose the plurality winner in a pairwise election,Q1971461,social choice theory
Q831366,decision tree,decision support tool,Q131476,graph theory
Q831454,culture of Japan,collective culture creation in Japan,Q875592,Japanese studies
Q831454,culture of Japan,collective culture creation in Japan,Q855159,kokugaku
Q831672,spanning tree,subgraph of an undirected graph G that is a tree which includes all of the vertices of G,Q131476,graph theory
Q831772,foreign currencies,"liquid means of payment denominated in a foreign currency, excluding cash, payable abroad; especially in account statements",Q178803,international trade
Q831801,business continuity planning,the process of creating systems of prevention and recovery to deal with potential threats and significant disruption of business operations,Q189447,risk management
Q831873,Betriebsfestigkeit,German term: a part in mechanical engineering and civil engineering,Q101333,mechanical engineering
Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments",Q7163,politics
Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments",Q23404,anthropology
Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments",Q188847,environmental science
Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments",Q21201,sociology
Q2666112,transposition,"in mathematics, a permutation in which the positions of pairs of elements are switched with one another",Q121416,discrete mathematics
Q2666979,spinodal decomposition,mechanism of spontaneous phase separation,Q11473,thermodynamics
Q2669416,barriers to exit,obstacles in the path of a firm which wants to leave a given market or industrial sector,Q8134,economics
Q2669627,eonothem,rank of chronostratigraphic unit representing the totality of rock strata laid down during a certain eon of the geologic time scale,Q973297,chronostratigraphy
Q2669953,journalistic objectivity,principle in journalism,Q11030,journalism
Q2670846,computer algebra,branch of mathematics and computer science that deals with the symbolic manipulation of algebraic expressions,Q395,mathematics
Q2670846,computer algebra,branch of mathematics and computer science that deals with the symbolic manipulation of algebraic expressions,Q21198,computer science
Q2672013,deformation,"In engineering, any changes in the shape or size of an object",Q228736,materials science
Q2672013,deformation,"In engineering, any changes in the shape or size of an object",Q11023,engineering
Q2672501,party per pale,heraldic division,Q18336,heraldry
Q2672555,Imprimi potest,Catholic authorization for publication,Q188462,canon law
Q2672648,social conflict,"struggle for agency or power in society, when two or more actors oppose each other in social interaction",Q21201,sociology
Q2686349,archaeological record,body of physical (i.e. not written) evidence about the past,Q23498,archaeology
Q2687556,Browder fixed point theorem,mathematical theorem,Q7754,mathematical analysis
Q2692721,abdominal appendages,"specialized extremities on the abdomen of insects, often serving reproductive functions and varying between sexes",Q2684571,insect anatomy
Q2695280,technique,"sum of skills, methods, and processes used to accomplish objectives, such as scientific investigation or the production of goods or services",Q11016,technology
Q2146881,revision,revision of the systematics of a group of living things,Q420,biology
Q2146893,library inventory,validation of actual items present in a collection against official inventories of such items,Q199655,library science
Q2151479,execution site,place where prisoners are put to death,Q7748,law
Q2152221,Riemann problem,mathematical problem,Q8424,aerodynamics
Q2154943,homomorphic encryption,A form of encryption that allows computation on ciphertexts,Q8789,cryptography
Q2155325,Ritualization,biological phenomenon,Q7155,ethology
Q2155325,Ritualization,biological phenomenon,Q21201,sociology
Q2159673,hybrid material,composites consisting of two constituents at the nanometer or molecular level,Q113114652,composite and hybrid materials
Q2164465,speculative execution,optimization technique,Q141495,mathematical optimization
Q2166490,Alpher–Bethe–Gamow theory,scientific theory,Q18346,physical cosmology
Q2167404,security policy,"definition of what it means to be secure for a system, organization or other entity",Q189447,risk management
Q2177380,ethnozoology,study of human and animal interaction,Q431,zoology
Q2178726,Welsh literature in English,literature written in the English language by Welsh authors,Q16880640,Welsh literature
Q853520,paratext,material that surrounds a published main text,Q667404,intertextuality
Q853745,engineering education,education to do engineering and/or become an engineer,Q113210442,engineering practice and education
Q853800,trace fossil,geological records of biological activity,Q2315537,ichnology
Q853957,locutionary act,performance of an utterance in linguistics and the philosophy of mind,Q8162,linguistics
Q854916,rhombohedron,polyhedron with six rhombi as faces,Q131476,graph theory
Q855627,Hungarian studies,philology,Q897219,Finno-Ugric studies
Q855848,crime prevention,activities with the primary goal of preventing crime in the context of law enforcement and criminal justice,Q1419660,societal defense
Q856577,weighting,statistical practice of placing varying importance on different inputs,Q208163,signal processing
Q856638,library catalog,register of all bibliographic items found in a library or group of libraries,Q13420675,library and information science
Q856638,library catalog,register of all bibliographic items found in a library or group of libraries,Q199655,library science
Q856713,Christian hymn,type of Christian song specifically written for the purpose of adoration or prayer,Q1640693,hymnology
Q857037,preaching,act of delivering a sermon,Q1038158,homiletics
Q827149,sociometry,quantitative method for measuring social relationships,Q21201,sociology
Q827541,molecular clock,technique to deduce the time in prehistory when two or more life forms diverged,Q856529,molecular evolution
Q827742,mastication,mechanical procedure for crushing the food and its first enzymatic splitting,Q962213,gnathology
Q828395,social policy,measures by governments or institutions which aim to improve or reform society,Q7163,politics
Q829257,mutual intelligibility,ability of speakers of two language varieties to understand the other,Q160845,sociolinguistics
Q829367,sociology of education,branch of sociology,Q113210417,"education policy, sociology and philosophy"
Q830393,preservation,"set of activities aimed at prolonging the life of a record or object in the fields of museum, library and archive",Q380313,archival science
Q830393,preservation,"set of activities aimed at prolonging the life of a record or object in the fields of museum, library and archive",Q199655,library science
Q830393,preservation,"set of activities aimed at prolonging the life of a record or object in the fields of museum, library and archive",Q5163001,conservation science
Q830431,funeral rite,"the totality of actions before, during and after a funeral",Q43455,ethnology
Q830431,funeral rite,"the totality of actions before, during and after a funeral",Q23498,archaeology
Q830650,contestable market,market served by a small number of firms that are nevertheless characterized by competitive equilibrium (and therefore provides desirable welfare outcomes) because of the existence of potential short-term entrants,Q8134,economics
Q1165944,land use,characterization of land based on what can be built on it and what the land can be used for,Q112914424,land use and environmental planning
Q1166072,financial transaction,"agreement, or communication, carried out between a buyer and a seller to exchange an asset for payment",Q97008347,interaction science
Q1166072,financial transaction,"agreement, or communication, carried out between a buyer and a seller to exchange an asset for payment",Q8134,economics
Q1166072,financial transaction,"agreement, or communication, carried out between a buyer and a seller to exchange an asset for payment",Q43015,finance
Q1166618,mathematical logic,subfield of mathematics,Q112955904,"Mathematical logic, set theory, lattices and universal algebra"
Q1166618,mathematical logic,subfield of mathematics,Q395,mathematics
Q1172399,data acquisition,sum of methods of simultaneous or sequential time measurement and counting for measurable or quantifiable data and groups of contiguous data,Q11661,information technology
Q1172399,data acquisition,sum of methods of simultaneous or sequential time measurement and counting for measurable or quantifiable data and groups of contiguous data,Q11023,engineering
Q1174982,set of real numbers,set whose elements are the real numbers,Q395,mathematics
Q1181876,decir,literary genre,Q238499,Spanish literature
Q1185297,official denial,"denial, revocation or rectification of personal, public or official messages",Q133080,public relations
Q1185297,official denial,"denial, revocation or rectification of personal, public or official messages",Q11030,journalism
Q1187080,dengbêjî,Type of kurdish folk song repertorie,Q208365,ethnomusicology
Q1139051,regression,mental defence mechanism,Q9418,psychology
Q1139344,grade,tangent of the angle of a surface to the horizontal,Q131089,geodesy
Q1140046,mathematical notation,system of symbolic representations of mathematical objects and ideas,Q395,mathematics
Q1140189,Hudud,category of offense in Islamic law,Q482752,sharia
Q1140487,Précieuses,art movement in literature,Q6689,French literature
Q1141436,marketing research,"branch of research for business management, studying markets and economic opportunities",Q10660901,general economics
Q1141436,marketing research,"branch of research for business management, studying markets and economic opportunities",Q2043282,business administration
Q1143012,taste,personal and cultural pattern of choice and preference,Q35986,aesthetics
Q1143546,cultural studies,academic field of critical theory and literary criticism,Q113128675,"language, communication, and cultural studies"
Q1149405,rock shelter,shallow cave-like opening at the base of a bluff or cliff,Q23498,archaeology
Q1149947,interface,part of UML,Q169411,Unified Modeling Language
Q1150194,price ceiling,economic policy,Q582577,economic policy
Q1151031,Debye model,Method in physics,Q11473,thermodynamics
Q1151068,edaphology,science concerned with the influence of soils on living things,Q9161265,soil science
Q1151513,history of Senegal,aspect of history,Q149813,History of Africa
Q1152135,unsupervised learning,machine learning technique,Q113127963,semi-supervised and unsupervised learning
Q1152135,unsupervised learning,machine learning technique,Q2539,machine learning
Q1153495,configuration management,process for maintaining consistency of a product attributes with its design,Q6314146,industrial engineering and management
Q1153495,configuration management,process for maintaining consistency of a product attributes with its design,Q682496,systems engineering
Q1153612,biregular graph,bipartite graph for which every two vertices on the same side of the given bipartition have the same degree as each other,Q131476,graph theory
Q1153832,organic synthesis,chemical construction of organic compounds,Q11351,organic chemistry
Q225631,32P-Postlabeling,method for the detection of DNA adducts,Q7162,genetics
Q225973,Ore's theorem,theorem that a graph in which every two nonadjacent vertices have high degree sum must have a Hamiltonian cycle,Q131476,graph theory
Q226014,Poincaré recurrence theorem,theorem,Q413,physics
Q227030,Mark Shuttleworth,South African entrepreneur; second self-funded visitor to the International Space Station,Q8346141,business science
Q227689,breeding line,subpopulation created by breeding animals or plants that are genetically related,Q227675,animal breeding
Q227696,Zuchtwart,"German term: the person who holds the supervision of breeding of animals, organized in the association of breeders",Q227675,animal breeding
Q228176,Zufallslandschaft,German term: a mathematical technical term,Q141495,mathematical optimization
Q228182,random path,a path in a network or graph with random course,Q131476,graph theory
Q228570,Zugzwang,"situation in chess and other games that forbid passing, wherein one player is put at a disadvantage by the obligation to make a move",Q1320931,combinatorial game theory
Q228716,Future Ethics,"the accountability of action (ethics, morality) in terms of their consequences, especially for future generations",Q7150,ecology
Q228729,future market,"an economic sector, an innovation or a market with expected rewarding, no economic potential",Q10660901,general economics
Q228729,future market,"an economic sector, an innovation or a market with expected rewarding, no economic potential",Q2043282,business administration
Q228751,payload weight,"total weight of a vehicle's payload, including crew, non-permanent equipment, consumables, lubricants, and fuel",Q7748,law
Q228772,Zulaufbauwerk,German term: distribute water as homogeneous as possible on the filter surface,Q1130265,hydraulic engineering
Q229297,3A-Regel,"German term: regulates handling of pollutants in pollutant operations of the emergency services, particularly the fire service application",Q1460420,emergency management
Q229391,3D texture,"mathematically described complex function, is used in many areas",Q185925,graphic design
Q229391,3D texture,"mathematically described complex function, is used in many areas",Q21198,computer science
Q230056,Tongue diagnosis,an important part in the diagnosis in traditional Chinese medicine,Q200253,traditional Chinese medicine
Q846047,history of music,history of human creation of music,Q164204,musicology
Q846047,history of music,history of human creation of music,Q10590700,music history
