course_name,concept,wikidata_qid,wikidata_label,wikidata_description,wikidata_url
Probability and Statistics,multivariate statistics,Q1952580,multivariate statistics,simultaneous observation and analysis of more than one outcome variable,https://www.wikidata.org/wiki/Q1952580
Probability and Statistics,discriminant analysis,Q15136973,discriminant analysis,classification procedure,https://www.wikidata.org/wiki/Q15136973
Probability and Statistics,dimensionality reduction,Q16000077,dimensionality reduction,process of reducing the number of random variables under consideration,https://www.wikidata.org/wiki/Q16000077
Probability and Statistics,monte carlo method,Q232207,Monte Carlo method,broad class of computational algorithms using random sampling to obtain numerical results,https://www.wikidata.org/wiki/Q232207
Probability and Statistics,random number generator,Q5166606,Convolution random number generator,non-uniform number generator,https://www.wikidata.org/wiki/Q5166606
Probability and Statistics,bootstrap method,Q301990,bootstrapping,statistical method,https://www.wikidata.org/wiki/Q301990
Discrete mathematics,logic,Q8078,logic,study of correct reasoning,https://www.wikidata.org/wiki/Q8078
Discrete mathematics,relation (mathematics),Q203066,relation,property that assigns truth values to k-tuples of individuals,https://www.wikidata.org/wiki/Q203066
Discrete mathematics,function (mathematics),Q11348,function,association of a single output to each input,https://www.wikidata.org/wiki/Q11348
Discrete mathematics,graph theory,Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",https://www.wikidata.org/wiki/Q131476
Discrete mathematics,combinatorics,Q76592,combinatorics,branch of discrete mathematics,https://www.wikidata.org/wiki/Q76592
Discrete mathematics,algebraic structure,Q205464,algebraic structure,set equipped with one or more finitary operations defined on it,https://www.wikidata.org/wiki/Q205464
Discrete mathematics,recurrence relation,Q740970,recurrence relation,sequence or array in which each further term is defined as a function of the preceding terms,https://www.wikidata.org/wiki/Q740970
Graph theory,graph theory,Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",https://www.wikidata.org/wiki/Q131476
Graph theory,graph (data structure),Q3045702,e-graph,graph data structure,https://www.wikidata.org/wiki/Q3045702
Graph theory,subgraph,Q7631151,subgraph,graph formed from a subset of the vertices and edges of another graph,https://www.wikidata.org/wiki/Q7631151
Graph theory,graph isomorphism,Q303100,graph isomorphism,bijection between the vertex set of two graphs,https://www.wikidata.org/wiki/Q303100
Graph theory,adjacency matrix,Q727035,adjacency matrix,square matrix used to represent a graph or network,https://www.wikidata.org/wiki/Q727035
Graph theory,incidence matrix,Q939272,incidence matrix,matrix that shows the relationship between two classes of objects,https://www.wikidata.org/wiki/Q939272
Graph theory,path (graph theory),Q1415372,path,"sequence of edges connecting a sequence of vertices in a graph, with no repeating vertices",https://www.wikidata.org/wiki/Q1415372
Graph theory,cycle (graph theory),Q245595,cycle,"in graph theory, non-empty trail in which only the first and last vertices are equal",https://www.wikidata.org/wiki/Q245595
Graph theory,tree (graph theory),Q272735,tree,"undirected, connected and acyclic graph",https://www.wikidata.org/wiki/Q272735
Graph theory,cayley's formula,Q859176,Cayley's formula,result in graph theory,https://www.wikidata.org/wiki/Q859176
Graph theory,connectivity (graph theory),Q72897900,graph connectivity,any measure of how connected a graph is,https://www.wikidata.org/wiki/Q72897900
Graph theory,connected component,Q91050456,connected component,topological space,https://www.wikidata.org/wiki/Q91050456
Graph theory,spanning tree,Q831672,spanning tree,subgraph of an undirected graph G that is a tree which includes all of the vertices of G,https://www.wikidata.org/wiki/Q831672
Graph theory,hamiltonian graph,Q18011235,Hamiltonian graph,graph containing a Hamiltonian cycle,https://www.wikidata.org/wiki/Q18011235
Graph theory,hamiltonian cycle,Q9197353,Hamiltonian cycle,Hamiltonian path that is a cycle,https://www.wikidata.org/wiki/Q9197353
Graph theory,hamiltonian path,Q273037,Hamiltonian path,path in a graph that visits each vertex exactly once,https://www.wikidata.org/wiki/Q273037
Graph theory,eulerian graph,Q9275357,Eulerian graph,graph containing an Eulerian cycle,https://www.wikidata.org/wiki/Q9275357
Graph theory,eulerian cycle,Q11691793,Eulerian cycle,cycle in a finite graph which visits every edge exactly once,https://www.wikidata.org/wiki/Q11691793
Graph theory,eulerian path,Q624580,Eulerian path,trail in a graph which visits every edge exactly once,https://www.wikidata.org/wiki/Q624580
Graph theory,matching (graph theory),Q1065144,matching,set of edges without common vertices,https://www.wikidata.org/wiki/Q1065144
Graph theory,bipartite graph,Q174733,bipartite graph,graph whose vertices can be divided into two disjoint and independent sets,https://www.wikidata.org/wiki/Q174733
Graph theory,perfect matching,Q99567093,perfect matching,matching that covers every vertex of the graph,https://www.wikidata.org/wiki/Q99567093
Graph theory,vertex coloring,Q124246880,vertex coloring,coloring of a graph's vertices,https://www.wikidata.org/wiki/Q124246880
Graph theory,edge coloring,Q1050972,edge coloring,an assignment of colors to the edges of a graph so that no two edges that share an endpoint have the same color as each other,https://www.wikidata.org/wiki/Q1050972
Graph theory,brooks' theorem,Q512897,Brooks' theorem,"theorem that, with two classes of exceptions, vertex-coloring a graph needs a number of colors at most equal to its maximum degree",https://www.wikidata.org/wiki/Q512897
Graph theory,vizing's theorem,Q2226822,Vizing's theorem,theorem in graph coloring,https://www.wikidata.org/wiki/Q2226822
Graph theory,independent set (graph theory),Q1060343,independent set,"set of vertices in a graph, no two of which are adjacent",https://www.wikidata.org/wiki/Q1060343
Graph theory,clique (graph theory),Q761631,clique,subset of the vertices of a node-link graph that are all adjacent to each other,https://www.wikidata.org/wiki/Q761631
Graph theory,ramsey's theorem,Q918099,Ramsey's theorem,combinatorics theorem that any edge labeling of a sufficiently large complete graph contains monochromatic cliques,https://www.wikidata.org/wiki/Q918099
Graph theory,turán's theorem,Q1047749,Turán's theorem,theorem bounding the number of edges in a graph that has no large cliques,https://www.wikidata.org/wiki/Q1047749
Graph theory,planar graph,Q547823,planar graph,graph that can be embedded in the plane,https://www.wikidata.org/wiki/Q547823
Graph theory,dual graph,Q2294516,dual graph,graph representing faces of another graph,https://www.wikidata.org/wiki/Q2294516
Graph theory,euler's formula,Q184871,Euler's formula,mathematical formula in complex analysis that establishes the fundamental relationship between the trigonometric functions and the complex exponential function,https://www.wikidata.org/wiki/Q184871
Graph theory,kuratowski's theorem,Q837902,Kuratowski's theorem,"a finite graph is planar iff it does not contain a subgraph that is a subdivision of K₅ or K₃,₃",https://www.wikidata.org/wiki/Q837902
Graph theory,directed graph,Q1137726,directed graph,graph with oriented edges,https://www.wikidata.org/wiki/Q1137726
Graph theory,network (graph theory),Q141488,graph,mathematical structure made of vertices connected in pairs by edges,https://www.wikidata.org/wiki/Q141488
Graph theory,flow network,Q1412924,flow network,directed graph where each edge has a capacity and each edge receives a flow,https://www.wikidata.org/wiki/Q1412924
Graph theory,cut (graph theory),Q1626444,cut,"in graph theory, partition of the vertices in two sets",https://www.wikidata.org/wiki/Q1626444
Graph theory,maximum flow minimum cut theorem,Q608294,Max-flow min-cut theorem,theorem in optimization theory,https://www.wikidata.org/wiki/Q608294
Programming Basics 2,object-oriented programming,Q79872,object-oriented programming,programming paradigm based on the concept of objects,https://www.wikidata.org/wiki/Q79872
Programming Basics 2,class (computer programming),Q9143,programming language,language for communicating instructions to a machine,https://www.wikidata.org/wiki/Q9143
Programming Basics 2,association (object-oriented programming),Q7072792,OOPSTAD,smalltalk Application Developers Association,https://www.wikidata.org/wiki/Q7072792
Programming Basics 2,aggregation (object-oriented programming),Q17173292,aggregation,"in programming, a way to regroup object that generalize composition",https://www.wikidata.org/wiki/Q17173292
Programming Basics 2,composition (computer science),Q13461925,function composition,in computer programming,https://www.wikidata.org/wiki/Q13461925
Programming Basics 2,inheritance (object-oriented programming),Q212542,inheritance,concept in object-oriented programming,https://www.wikidata.org/wiki/Q212542
Programming Basics 2,multiple inheritance,Q1070739,multiple inheritance,inheritance with more than one parent class,https://www.wikidata.org/wiki/Q1070739
Programming Basics 2,attribute (computer programming),Q123472450,attribute of a class,"any entity grouped within a class in object-oriented programming (e.g. field, method, property, nested class)",https://www.wikidata.org/wiki/Q123472450
Programming Basics 2,method (computer programming),Q122875642,class method,special type of method in some programming languages called on a class rather than an instance (polymorphic on subclasses),https://www.wikidata.org/wiki/Q122875642
Programming Basics 2,constructor (computer science),Q1049476,constructor,special method used for initializing a newly allocated object in object-oriented programming,https://www.wikidata.org/wiki/Q1049476
Programming Basics 2,destructor,Q735151,destructor,special method in object-oriented programming which is called deterministically to perform cleanup just before the object is deallocated,https://www.wikidata.org/wiki/Q735151
Programming Basics 2,reference (computer science),Q1334113,reference data type,value that gives indirect access to e.g. a variable or register,https://www.wikidata.org/wiki/Q1334113
Programming Basics 2,pointer (computer programming),Q118155,pointer,type which stores memory addresses in a computer program,https://www.wikidata.org/wiki/Q118155
Programming Basics 2,inline function,Q1189936,inline function,function in C or C++ subject to inline expansion,https://www.wikidata.org/wiki/Q1189936
Programming Basics 2,static method,Q129510964,static method,non-polymorphic subroutine grouped with a class that does not access instance data,https://www.wikidata.org/wiki/Q129510964
Programming Basics 2,static variable,Q1896011,static variable,"in computer languages, a variable that has been allocated statically so that its lifetime is the entire run of the program (as opposed to shorter-lived automatic variables and dynamically allocated variables)",https://www.wikidata.org/wiki/Q1896011
Programming Basics 2,inner class,Q7392881,Southern Railway 2-NOL,class of 2-car inner-suburban EMU,https://www.wikidata.org/wiki/Q7392881
Programming Basics 2,enumeration,Q12139612,list,set of discrete items of information,https://www.wikidata.org/wiki/Q12139612
Programming Basics 2,access specifier,Q338966,access-control list,list associated with a computing system resource that specifies which users or groups are permitted to perform specified operations,https://www.wikidata.org/wiki/Q338966
Programming Basics 2,virtual function,Q1500644,Virtual function,inheritable and overridable function or method for which dynamic dispatch is facilitated,https://www.wikidata.org/wiki/Q1500644
Programming Basics 2,abstract class,Q122375923,abstract class,a class that cannot be directly instantiated,https://www.wikidata.org/wiki/Q122375923
Programming Basics 2,interface (computer science),Q23808,computer interface,concept of computer science; point of interaction between two things,https://www.wikidata.org/wiki/Q23808
Programming Basics 2,function overloading,Q1091461,function overloading,"in computer programming, creation of multiple function implementations with the same name",https://www.wikidata.org/wiki/Q1091461
Programming Basics 2,operator overloading,Q332629,operator overloading,type of polymorphism in some programming languages where operators have different implementations depending on their arguments,https://www.wikidata.org/wiki/Q332629
Programming Basics 2,assignment operator,Q2468917,assignment operator,operator used in C++,https://www.wikidata.org/wiki/Q2468917
Programming Basics 2,copy constructor,Q11163184,copy constructor,constructor that initializes an object by copying the state of another object of the same type,https://www.wikidata.org/wiki/Q11163184
Programming Basics 2,member access operator,,,,
Programming Basics 2,type casting,Q7860897,type casting,technique for casting individual letters for use in printing presses,https://www.wikidata.org/wiki/Q7860897
Programming Basics 2,run-time type information,Q684223,run-time type information,C++ mechanism that exposes information about an object's data type at runtime,https://www.wikidata.org/wiki/Q684223
Programming Basics 2,exception handling,Q471748,exception handling,process of responding to anomalous or exceptional conditions requiring special processing in computer programming,https://www.wikidata.org/wiki/Q471748
Programming Basics 2,container (data structure),Q1643805,container,"software class, data structure, or abstract data type (ADT) whose instances are collections of other objects",https://www.wikidata.org/wiki/Q1643805
Programming Basics 2,iterator,Q1326388,iterator,"in computing, an object whose methods enables a program to orderly traverse elements having some logical conditions in a given container from a given first element",https://www.wikidata.org/wiki/Q1326388
Programming Basics 2,template (c++),Q1411845,template,feature in the C++ programming language,https://www.wikidata.org/wiki/Q1411845
Programming Basics 2,standard library,Q1199356,standard library,library made available across implementations of a programming language,https://www.wikidata.org/wiki/Q1199356
Programming Basics 2,algorithm,Q8366,algorithm,sequence of instructions to perform a task,https://www.wikidata.org/wiki/Q8366
Programming Basics 2,function object,Q2072111,function object,"programming construct allowing an object to be invoked or called as if it were an ordinary function, usually with the same syntax",https://www.wikidata.org/wiki/Q2072111
Programming Basics 2,input/output,Q219320,input/output,communication between an information processing system and the outside world,https://www.wikidata.org/wiki/Q219320
Algorithms and data structures,algorithm,Q8366,algorithm,sequence of instructions to perform a task,https://www.wikidata.org/wiki/Q8366
Algorithms and data structures,data structure,Q175263,data structure,particular way of storing and organizing data in a computer,https://www.wikidata.org/wiki/Q175263
Algorithms and data structures,divide and conquer algorithm,Q671298,divide-and-conquer algorithm,algorithm design paradigm based on multi-branched recursion,https://www.wikidata.org/wiki/Q671298
Algorithms and data structures,dynamic programming,Q380679,dynamic programming,problem optimization method that simplifies a complicated problem by decomposing it into simpler subproblems recursively,https://www.wikidata.org/wiki/Q380679
Algorithms and data structures,greedy algorithm,Q504353,greedy algorithm,algorithm that makes locally optimal choices in a sequence of steps with the goal of reaching a global optimum,https://www.wikidata.org/wiki/Q504353
Algorithms and data structures,heuristic,Q201413,heuristic,"problem-solving method that is sufficient for quick, short-term solutions/approximations",https://www.wikidata.org/wiki/Q201413
Algorithms and data structures,array,Q186152,array data structure,data structure holding elements in a contiguous memory block,https://www.wikidata.org/wiki/Q186152
Algorithms and data structures,list,Q12139612,list,set of discrete items of information,https://www.wikidata.org/wiki/Q12139612
Algorithms and data structures,queue,Q220543,queue,abstract data type,https://www.wikidata.org/wiki/Q220543
Algorithms and data structures,stack (abstract data type),Q177929,stack,abstract data type,https://www.wikidata.org/wiki/Q177929
Algorithms and data structures,binary search algorithm,Q243754,binary search algorithm,search algorithm in sorted lists that operates by decreasing the search space by half each pass,https://www.wikidata.org/wiki/Q243754
Algorithms and data structures,computational complexity,Q5157286,computational complexity,measure of the amount of resources needed to run an algorithm or solve a computational problem,https://www.wikidata.org/wiki/Q5157286
Algorithms and data structures,time complexity,Q2393193,time complexity,estimate of time taken for running an algorithm,https://www.wikidata.org/wiki/Q2393193
Algorithms and data structures,memory complexity,Q2098905,space complexity,amount of memory space that an algorithm uses as a function of the input's size,https://www.wikidata.org/wiki/Q2098905
Algorithms and data structures,np-completeness,Q7624684,strong NP-completeness,property of computational problems that is a special case of NP-completeness,https://www.wikidata.org/wiki/Q7624684
Algorithms and data structures,undecidability,Q3502995,undecidable problem,decision problem for which it is impossible to construct an algorithm that always leads to a correct yes-or-no answer,https://www.wikidata.org/wiki/Q3502995
Algorithms and data structures,sorting algorithm,Q181593,sorting algorithm,algorithm that puts elements of a list in a certain order,https://www.wikidata.org/wiki/Q181593
Algorithms and data structures,shellsort,Q848955,shellsort,in-place comparison sorting algorithm invented by D. Shell,https://www.wikidata.org/wiki/Q848955
Algorithms and data structures,quicksort,Q486598,quicksort,divide and conquer sorting algorithm,https://www.wikidata.org/wiki/Q486598
Algorithms and data structures,merge sort,Q189057,merge sort,worst-case optimal stable divide and conquer comparison sorting algorithm,https://www.wikidata.org/wiki/Q189057
Algorithms and data structures,heapsort,Q474095,heapsort,worst-case optimal in-place comparison sorting algorithm based on the heap data structure,https://www.wikidata.org/wiki/Q474095
Algorithms and data structures,heap (data structure),Q274089,heap,tree-based data structure in computer science,https://www.wikidata.org/wiki/Q274089
Algorithms and data structures,priority queue,Q629283,priority queue,abstract data type in computer science,https://www.wikidata.org/wiki/Q629283
Algorithms and data structures,external sorting,Q209687,external sorting,class of sorting algorithms that can handle massive amounts of data,https://www.wikidata.org/wiki/Q209687
Algorithms and data structures,hash table,Q207440,hash table,associates data values with key values - a lookup table,https://www.wikidata.org/wiki/Q207440
Algorithms and data structures,tree (data structure),Q223655,tree,abstract data type,https://www.wikidata.org/wiki/Q223655
Algorithms and data structures,binary tree,Q380172,binary tree,tree data structure in which each node has at most two children,https://www.wikidata.org/wiki/Q380172
Algorithms and data structures,avl tree,Q300159,AVL tree,one kind of self-balancing binary search tree,https://www.wikidata.org/wiki/Q300159
Algorithms and data structures,binary search tree,Q623818,binary search tree,"data structure in tree form with 0, 1, or 2 children per node, sorted for fast lookup",https://www.wikidata.org/wiki/Q623818
Algorithms and data structures,red-black tree,Q506496,red–black tree,self-balancing binary search tree data structure,https://www.wikidata.org/wiki/Q506496
Algorithms and data structures,splay tree,Q80729,splay tree,self-adjusting binary search tree with the additional property that recently accessed elements are quick to access again,https://www.wikidata.org/wiki/Q80729
Algorithms and data structures,b-tree,Q677051,B-tree,"a self-balancing, tree-based data structure, that allows read/write access in logarithmic time",https://www.wikidata.org/wiki/Q677051
Algorithms and data structures,binomial heap,Q864032,binomial heap,priority queue made from heap-ordered trees with power-of-two sizes,https://www.wikidata.org/wiki/Q864032
Algorithms and data structures,fibonacci heap,Q1410737,Fibonacci heap,heap data structure made of a forest of trees,https://www.wikidata.org/wiki/Q1410737
Algorithms and data structures,disjoint-set data structure,Q1259393,disjoint-set data structure,data structure that keeps track of a set of elements partitioned into a number of disjoint (nonoverlapping) subsets,https://www.wikidata.org/wiki/Q1259393
Algorithms and data structures,graph algorithm,Q30503704,graph algorithm,type of algorithm,https://www.wikidata.org/wiki/Q30503704
Algorithms and data structures,breadth-first search,Q325904,breadth-first search,algorithm for searching the nodes of a graph in order by their hop count from a starting node,https://www.wikidata.org/wiki/Q325904
Algorithms and data structures,depth-first search,Q816319,depth-first search,algorithm for traversing or searching tree or graph data structures,https://www.wikidata.org/wiki/Q816319
Algorithms and data structures,minimum spanning tree,Q240464,minimum spanning tree,"data structure, subgraph of a weighted graph",https://www.wikidata.org/wiki/Q240464
Algorithms and data structures,shortest path problem,Q1058754,shortest path problem,problem of finding a path between two vertices (or nodes) in a graph such that the sum of the weights of its constituent edges is minimized,https://www.wikidata.org/wiki/Q1058754
Algorithms and data structures,graph coloring,Q504843,graph coloring,assignment of colors to elements of a graph subject to certain constraints,https://www.wikidata.org/wiki/Q504843
Algorithms and data structures,text algorithm,Q374040,string-searching algorithm,algorithm which searches for patterns within strings,https://www.wikidata.org/wiki/Q374040
Algorithms and data structures,pattern matching,Q1503724,pattern matching,programming language construct for processing data conditionally on its structure,https://www.wikidata.org/wiki/Q1503724
Algorithms and data structures,knuth-morris-pratt algorithm,Q45285,Knuth–Morris–Pratt algorithm,string searching algorithm,https://www.wikidata.org/wiki/Q45285
Algorithms and data structures,boyer-moore algorithm,Q895984,Boyer–Moore string search algorithm,string searching algorithm,https://www.wikidata.org/wiki/Q895984
Algorithms and data structures,rabin-karp algorithm,Q1384131,Rabin–Karp algorithm,string searching algorithm,https://www.wikidata.org/wiki/Q1384131
Basics of computer graphics,computer graphics,Q150971,computer graphics,sub-field of computer science,https://www.wikidata.org/wiki/Q150971
Basics of computer graphics,raster graphics,Q182270,raster graphics,"dot matrix data structure, representing a generally rectangular grid of pixels, or points of color, viewable via a monitor, paper, or other display medium",https://www.wikidata.org/wiki/Q182270
Basics of computer graphics,vector graphics,Q2078,SVG,open standard for two-dimensional vector graphics,https://www.wikidata.org/wiki/Q2078
Basics of computer graphics,color model,Q25212643,HSV,color model,https://www.wikidata.org/wiki/Q25212643
Basics of computer graphics,rgb color model,Q166194,RGB color model,"additive color model based on combining red, green, and blue",https://www.wikidata.org/wiki/Q166194
Basics of computer graphics,cmyk color model,Q166432,CMYK color model,"subtractive color model, used in color printing",https://www.wikidata.org/wiki/Q166432
Basics of computer graphics,hsl color model,Q14032191,HSL,color model,https://www.wikidata.org/wiki/Q14032191
Basics of computer graphics,hsv color model,Q25212643,HSV,color model,https://www.wikidata.org/wiki/Q25212643
Basics of computer graphics,lossless compression,Q55542,lossless compression,data compression approach allowing perfect reconstruction of the original data,https://www.wikidata.org/wiki/Q55542
Basics of computer graphics,rle,Q2797,run-length encoding,simple form of data compression in which runs of data (sequences in which the same data value occurs in many consecutive data elements) are stored as a single data value and count,https://www.wikidata.org/wiki/Q2797
Basics of computer graphics,lzw,Q2681,Lempel–Ziv–Welch,universal lossless data compression algorithm,https://www.wikidata.org/wiki/Q2681
Basics of computer graphics,jpeg,Q2195,JPEG,"conflation of multiple topics including compression algorithms, various file formats, standards/technical specifications and a non-profit organisation",https://www.wikidata.org/wiki/Q2195
Basics of computer graphics,color palette,Q131935563,Color Palette,Color palette,https://www.wikidata.org/wiki/Q131935563
Basics of computer graphics,bitmap,Q192869,Windows Bitmap,Windows Bitmap image file format family,https://www.wikidata.org/wiki/Q192869
Basics of computer graphics,image interlacing,Q1666173,interlacing,method of incrementally displaying raster graphics,https://www.wikidata.org/wiki/Q1666173
Basics of computer graphics,digital image processing,Q1070689,digital image processing,processing of digitally-represented images with algorithms,https://www.wikidata.org/wiki/Q1070689
Basics of computer graphics,arithmetic operation,Q32043,addition,arithmetic operation,https://www.wikidata.org/wiki/Q32043
Basics of computer graphics,histogram,Q185020,histogram,graphical representation of the bucketed distribution of numerical data,https://www.wikidata.org/wiki/Q185020
Basics of computer graphics,image filtering,Q55080235,geometric mean filter,image filtering process meant to smooth and reduce noise of an image,https://www.wikidata.org/wiki/Q55080235
Basics of computer graphics,3d computer graphics,Q189177,3D computer graphics,graphics that use a three-dimensional representation of geometric data,https://www.wikidata.org/wiki/Q189177
Basics of computer graphics,vector object,Q121717760,Vector object interaction,US patent 11301125,https://www.wikidata.org/wiki/Q121717760
Basics of computer graphics,scene lighting,Q1823479,lighting designer,person responsible for lighting on a stage,https://www.wikidata.org/wiki/Q1823479
Basics of computer graphics,texture mapping,Q752176,texture mapping,method of defining surface detail on a computer-generated graphic or 3D model,https://www.wikidata.org/wiki/Q752176
Basics of computer graphics,bump mapping,Q851953,bump mapping,texturing technique for bumps/wrinkles in computer graphics,https://www.wikidata.org/wiki/Q851953
Basics of computer graphics,rendering (computer graphics),Q176953,rendering,process of generating an image from a model,https://www.wikidata.org/wiki/Q176953
Basics of computer graphics,phong shading model,Q884409,Blinn–Phong shading model,shading algorithm in computer graphics,https://www.wikidata.org/wiki/Q884409
Basics of computer graphics,flat shading,Q1191981,shading,depicting depth through varying levels of darkness,https://www.wikidata.org/wiki/Q1191981
Basics of computer graphics,gouraud shading,Q141529,Gouraud shading,shading algorithm invented by the computer scientist Henri Gouraud,https://www.wikidata.org/wiki/Q141529
Basics of computer graphics,ray tracing,Q619942,ray tracing,rendering algorithm that works by sending out many virtual rays of light,https://www.wikidata.org/wiki/Q619942
Basics of computer graphics,radiosity,Q1068239,radiosity,computer graphics rendering method using diffuse reflection,https://www.wikidata.org/wiki/Q1068239
Basics of computer graphics,computer animation,Q1401416,computer animation,art of creating moving images using computers,https://www.wikidata.org/wiki/Q1401416
Basics of computer graphics,opengl,Q178570,OpenGL,cross-platform graphics API,https://www.wikidata.org/wiki/Q178570
Introduction to Intelligent Systems,intelligent system,Q115135904,intelligent system,"system showing signs of artificial intelligence, or claiming to",https://www.wikidata.org/wiki/Q115135904
Introduction to Intelligent Systems,automatic inference,,,,
Introduction to Intelligent Systems,machine learning,Q2539,machine learning,scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions,https://www.wikidata.org/wiki/Q2539
Introduction to Intelligent Systems,neural network,Q192776,artificial neural network,"computational model used in machine learning, based on connected, hierarchical functions",https://www.wikidata.org/wiki/Q192776
Introduction to Intelligent Systems,deep learning,Q197536,deep learning,branch of machine learning,https://www.wikidata.org/wiki/Q197536
Introduction to Intelligent Systems,multi-agent system,Q529909,multi-agent system,built of multiple interacting agents,https://www.wikidata.org/wiki/Q529909
Introduction to Intelligent Systems,game theory,Q44455,game theory,branch of mathematics focused on strategic decision making,https://www.wikidata.org/wiki/Q44455
Operational research,operational research,Q7097752,Operational Research Society,international learned society for operational research,https://www.wikidata.org/wiki/Q7097752
Operational research,linear programming,Q202843,linear programming,programming method to achieve the best outcome in a mathematical model,https://www.wikidata.org/wiki/Q202843
Operational research,simplex method,Q134164,simplex algorithm,algorithm,https://www.wikidata.org/wiki/Q134164
Operational research,duality,Q1755512,duality,"translates mathematical concepts into other concepts, in a one-to-one fashion",https://www.wikidata.org/wiki/Q1755512
Operational research,allocation problem,Q105425064,Proportional item allocation,fair item allocation problem,https://www.wikidata.org/wiki/Q105425064
Operational research,network programming,Q3403011,computer network programming,writing computer programs with networking capability,https://www.wikidata.org/wiki/Q3403011
Operational research,ranking,Q526719,ranking,process of ordering items in a set by criteria,https://www.wikidata.org/wiki/Q526719
Operational research,integer programming,Q6042592,Integer programming,pure or mixed integer programing,https://www.wikidata.org/wiki/Q6042592
Physics 2,electrostatics,Q26336,electrostatics,study of stationary electric charges,https://www.wikidata.org/wiki/Q26336
Physics 2,electric field,Q46221,electric field,spatial distribution of vectors representing the force applied to a charged test particle,https://www.wikidata.org/wiki/Q46221
Physics 2,electric potential,Q55451,electric potential,line integral of the electric field,https://www.wikidata.org/wiki/Q55451
Physics 2,potential energy,Q155640,potential energy,"energy held by an object because of its position relative to other objects or stresses within itself, rather than its velocity",https://www.wikidata.org/wiki/Q155640
Physics 2,electric dipole,Q88587002,electric dipole,constellation of two very close opposite electrical charges,https://www.wikidata.org/wiki/Q88587002
Physics 2,gauss's law,Q173356,Gauss's law,foundational law of electromagnetism,https://www.wikidata.org/wiki/Q173356
Physics 2,capacitor,Q5322,capacitor,"passive, two-terminal electronic component that stores electrical energy in an electric field",https://www.wikidata.org/wiki/Q5322
Physics 2,electric field energy,Q105317421,Joule electrothermal number,quotient of Joule heat and electric field energy in a plasma,https://www.wikidata.org/wiki/Q105317421
Physics 2,dielectric,Q184996,dielectric,"electrically poorly conducting or non-conducting, non-metallic substance in which charge carriers are generally not free to move",https://www.wikidata.org/wiki/Q184996
Physics 2,piezoelectricity,Q183759,piezoelectricity,electric charge generated in certain solids due to mechanical stress,https://www.wikidata.org/wiki/Q183759
Physics 2,direct current,Q159241,direct current,unidirectional flow of electric charge,https://www.wikidata.org/wiki/Q159241
Physics 2,ohm's law,Q41591,Ohm's law,relationship between voltage and current across an ideal resistor,https://www.wikidata.org/wiki/Q41591
Physics 2,electromotive force,Q185329,electromotive force,"scalar physical quantity homogeneous to a voltage, expressing the modulus of the force exerted on a charge in an electric field",https://www.wikidata.org/wiki/Q185329
Physics 2,electrical conductivity,Q4593291,electrical conductivity,physical quantity and property of material describing how readily a given material allows the flow of electric current,https://www.wikidata.org/wiki/Q4593291
Physics 2,kirchhoff's circuit laws,Q187672,Kirchhoff's circuit laws,relations between currents and voltages on sections of any electrical circuit,https://www.wikidata.org/wiki/Q187672
Physics 2,rc circuit,Q939318,RC circuit,electric circuit composed of resistors and capacitors driven by a voltage or current source,https://www.wikidata.org/wiki/Q939318
Physics 2,rlc circuit,Q323477,RLC circuit,resistor inductor capacitor circuit,https://www.wikidata.org/wiki/Q323477
Physics 2,magnetic field,Q10043471,Sun's magnetic field,stellar magnetic field of the Sun,https://www.wikidata.org/wiki/Q10043471
Physics 2,lorentz force,Q172137,Lorentz force,force exerted on a charge in electromagnetic field,https://www.wikidata.org/wiki/Q172137
Physics 2,hall effect,Q1047822,quantum Hall effect,a quantum-mechanical version of the Hall effect,https://www.wikidata.org/wiki/Q1047822
Physics 2,ampere's law,Q2359410,Ampère's force law,physical law,https://www.wikidata.org/wiki/Q2359410
Physics 2,biot-savart law,Q171340,Biot-Savart law,important law of classical magnetism,https://www.wikidata.org/wiki/Q171340
Physics 2,faraday's law of induction,Q181465,Faraday's law of induction,basic law of electromagnetism of magnetic fields inducing a potential difference,https://www.wikidata.org/wiki/Q181465
Physics 2,lenz's law,Q192288,Lenz's law,electromagnetic phenomena where changing magnetic fields induce currents with opposing fields,https://www.wikidata.org/wiki/Q192288
Physics 2,inductance,Q177897,inductance,property of electrical conductors to oppose changes in current flow,https://www.wikidata.org/wiki/Q177897
Physics 2,self-induction,,,,
Physics 2,rl circuit,Q1836061,RL circuit,consisting of a resistance and an inductance,https://www.wikidata.org/wiki/Q1836061
Physics 2,magnetism,Q3294789,magnetism,class of physical phenomena,https://www.wikidata.org/wiki/Q3294789
Physics 2,maxwell's equations,Q51501,Maxwell's equations,set of partial differential equations that describe how electric and magnetic fields are generated and altered by each other and by charges and currents,https://www.wikidata.org/wiki/Q51501
Physics 2,electromagnetic wave,Q11386,electromagnetic wave,synchronized oscillations of electric and magnetic fields,https://www.wikidata.org/wiki/Q11386
Physics 2,divergence,Q189000,divergence,vector differential operator measuring the source or sink at a given point,https://www.wikidata.org/wiki/Q189000
